image,name,address,city,state,zip,lat,lng, type
The Alaska Club East Pickleball,5201 E Tudor Rd,Anchorage,AK,99507,61.1815,-149.7885,Business
The Alaska Club South,10931 O'Malley Centre Dr,Anchorage,AK,99515,61.1215,-149.8645,Business
O'Malley Sports Center Pickleball,11051 O'Malley Centre Dr,Anchorage,AK,99515,61.1185,-149.8615,Business
Fairbanks Tennis & Pickleball Club,751 Old Steese Hwy N,Fairbanks,AK,99701,64.8515,-147.7115,Business
Pop Carr Park Pickleball Courts,3211 Robinson Ave,Anchorage,AK,99508,61.2085,-149.7985,Park
Campbell Creek Park Courts,48th Ave & Lake Otis Pkwy,Anchorage,AK,99507,61.1785,-149.8385,Park
Chester Valley Park Courts,Patterson St & Debarr Rd,Anchorage,AK,99504,61.2115,-149.7415,Park
Dave Rose Park Courts,Lane St,Anchorage,AK,99508,61.2215,-149.8085,Park
Fairview Park Courts,E 12th Ave & Medfra St,Anchorage,AK,99501,61.2115,-149.8685,Park
Jewel Lake Park Courts,4301 W 88th Ave,Anchorage,AK,99502,61.1415,-149.9545,Park
Lyn Ary Park Courts,3101 Foraker Dr,Anchorage,AK,99517,61.1945,-149.9485,Park
Russian Jack Springs Park Courts,1600 Lidia Selkregg Ln,Anchorage,AK,99508,61.2015,-149.7845,Park
South Anchorage Sports Complex,798 W Klatt Rd,Anchorage,AK,99515,61.1085,-149.8915,Park
Valley of the Sun Park,"Wasilla, AK",Wasilla,AK,99654,61.5815,-149.4415,Park
Wasilla Multi-Use Sports Complex Courts,1001 S Mack Dr,Wasilla,AK,99654,61.5685,-149.4685,Park
Palmer Mat-Su Pickleball Courts,Inner Springer Loop,Palmer,AK,99645,61.5985,-149.1115,Park
Growden Memorial Park Courts,Wilbur St,Fairbanks,AK,99701,64.8415,-147.7485,Park
Mary Siah Recreation Center Courts,1024 14th Ave,Fairbanks,AK,99701,64.8345,-147.7285,Park
South Davis Park Courts,Davis Rd,Fairbanks,AK,99701,64.8185,-147.7785,Park
Dimond Park Field House Pickleball,2961 Riverside Dr,Juneau,AK,99801,58.3715,-134.5885,Park
Cope Park Courts,Calhoun Ave,Juneau,AK,99801,58.3045,-134.4145,Park
Soldotna Regional Sports Complex Courts,538 Arena Dr,Soldotna,AK,99669,60.4845,-151.0845,Park
Kenai Multi-Purpose Facility Courts,9830 Spur Hwy,Kenai,AK,99611,60.5585,-151.2645,Park
Homer Community Recreation Center,600 E Fairview Ave,Homer,AK,99603,59.6485,-151.5415,Park
Ketchikan Recreation Center Courts,601 Schoenbar Rd,Ketchikan,AK,99901,55.3485,-131.6485,Park
