image,name,address,city,state,zip,lat,lng, type,cam
Magic City Pickleball,1651 Independence Ct Ste 111,Homewood,AL,35209,33.46176,-86.77839,Business,https://livepickleballcourts.com/facilities/magic-city-pickleball
The Hub Pickleball Club,2054 Valleydale Terrace,Birmingham,AL,35244,33.3685,-86.8115,Business
George Ward Park Pickleball Courts,1901 Green Springs Ave S,Birmingham,AL,35205,33.4845,-86.8215,Park
Crestwood Park Courts,5400 Crestwood Blvd,Birmingham,AL,35212,33.5315,-86.7445,Park
Heardmont Park Pickleball Complex,5458 Cahaba Valley Rd,Birmingham,AL,35242,33.3785,-86.7015,Park
Veterans Park Hoover Courts,4800 Valleydale Rd,Hoover,AL,35242,33.3645,-86.7285,Park
Hoover Metropolitan Complex,100 Ben Chapman Dr,Hoover,AL,35244,33.3415,-86.8485,Park
Pelham Racquet Club,100 Racquet Club Pkwy,Pelham,AL,35124,33.2985,-86.8045,Business
Alabaster Municipal Park,500 Warrior Dr,Alabaster,AL,35007,33.2415,-86.8215,Park
Trussville Racquet & Pickleball Club,401 Parkway Dr,Trussville,AL,35173,33.6215,-86.6085,Park
Huntsville Tennis & Pickleball Center,2305 Airport Rd SW,Huntsville,AL,35801,34.6945,-86.5885,Park
Brahan Spring Park Courts,500 Drake Ave SW,Huntsville,AL,35801,34.7085,-86.5985,Park
Sandra Moon Community Complex,7901 Bailey Cove Rd SE,Huntsville,AL,35802,34.6545,-86.5415,Park
Dublin Park Pickleball Courts,8324 Old Madison Pike,Madison,AL,35758,34.7015,-86.7215,Park
Palmer Park Courts,574 Palmer Rd,Madison,AL,35758,34.6845,-86.7785,Park
Mobile Tennis & Pickleball Center,851 Gaillard Dr,Mobile,AL,36608,30.6985,-88.1585,Park
Medal of Honor Park (Cottage Hill),1711 Hillcrest Rd,Mobile,AL,36695,30.6585,-88.1915,Park
Matthews Park Courts,Matthews Park Dr,Mobile,AL,36605,30.6485,-88.0845,Park
Fairhope Municipal Tennis & Pickleball,703 Greeno Rd,Fairhope,AL,36532,30.5185,-87.8985,Park
Daphne Sports Complex,"Al Trione Sports Complex, 8600 Whispering Pines Rd",Daphne,AL,36526,30.6085,-87.8745,Park
Gulf Shores Sportsplex Pickleball,19025 Oak Rd W,Gulf Shores,AL,36542,30.2985,-87.6885,Park
Orange Beach Recreation Complex,4849 Wilson Blvd,Orange Beach,AL,36561,30.2945,-87.5745,Park
Lagoon Park Pickleball Complex,2855 Lagoon Park Dr,Montgomery,AL,36109,32.4185,-86.2085,Park
Ida Bell Young Park,5400 Vaughn Rd,Montgomery,AL,36116,32.3545,-86.2215,Park
O'Connor Tennis & Pickleball Center,500 Anderson St,Montgomery,AL,36107,32.3845,-86.2845,Park
Auburn Yarbrough Tennis & Pickleball Center,777 Yarbrough Farms Blvd,Auburn,AL,36830,32.6145,-85.5185,Park
Opelika SportsPlex & Aquatics Center,1001 SportsPlex Pkwy,Opelika,AL,36801,32.6685,-85.3485,Park
Tuscaloosa Tennis & Pickleball Center,3901 Loop Rd,Tuscaloosa,AL,35404,33.1815,-87.5185,Park
Bowers Park Courts,2100 Bowers Park Dr,Tuscaloosa,AL,35405,33.1685,-87.5215,Park
Sokol Park Pickleball Courts,5901 Watermelon Rd,Northport,AL,35473,33.2545,-87.5485,Park
