image,name,address,city,state,zip,lat,lng, type
pk.png,Pickleball Kingdom Roseville,100 Gateway Blvd,Roseville,CA,95678,38.75124,-121.28451,Business
pk.png,Pickleball Kingdom Irvine,14281 Chambers Rd,Tustin,CA,92780,33.72951,-117.82851,Business
ace.png,Ace Pickleball Club San Jose,1730 Story Rd,San Jose,CA,95122,37.33951,-121.84951,Business
ace.png,Ace Pickleball Club Orange County,1400 N Harbor Blvd,Fullerton,CA,92835,33.88951,-117.92541,Business
picklr.png,The Picklr Placentia,750 N Rose Dr,Placentia,CA,92870,33.88981,-117.84851,Business
picklr.png,The Picklr Carlsbad,6010 Avenida Encinas,Carlsbad,CA,92011,33.11981,-117.32451,Business
picklr.png,The Picklr Rancho Santa Margarita,22421 Antonio Pkwy,Rancho Santa Margarita,CA,92688,33.62851,-117.59851,Business
picklr.png,The Picklr Fountain Valley,17150 Brookhurst St,Fountain Valley,CA,92708,33.71251,-117.95451,Business
picklr.png,The Picklr Fairfield,1350 Travis Blvd,Fairfield,CA,94533,38.26121,-122.05451,Business
picklr.png,The Picklr Milpitas,1300 S Main St,Milpitas,CA,95035,37.41951,-121.89851,Business
picklr.png,The Picklr Rancho Cordova,11000 Olson Dr,Rancho Cordova,CA,95670,38.59121,-121.27851,Business
The Tennis and Pickleball Club at Newport Beach,11 Clubhouse Dr,Newport Beach,CA,92660,33.61951,-117.87451,Business
Bobby Riggs Racket and Paddle Club,875 Santa Fe Dr,Encinitas,CA,92024,33.04121,-117.27851,Business
The Hub Pickleball Club San Diego,9545 Campo Rd,Spring Valley,CA,91977,32.74851,-116.99451,Business
The Hub Silicon Valley,1120 Dell Ave,Campbell,CA,95008,37.26981,-121.94851,Business
Santa Monica Pickleball Center,2501 Wilshire Blvd,Santa Monica,CA,90403,34.03451,-118.47851,Business
Barnes Tennis and Pickleball Center,4490 W Point Loma Blvd,San Diego,CA,92107,32.75451,-117.23451,Business
Mission Hills Country Club Pickleball,34600 Mission Hills Dr,Rancho Mirage,CA,92270,33.79121,-116.42851,Business
Surf City Pickleball Club,1601 Palm Ave,Huntington Beach,CA,92648,33.67121,-117.99851,Business
Peninsula Tennis and Pickleball Club,1098 Rollins Rd,Burlingame,CA,94010,37.58951,-122.35851,Business
San Clemente Municipal Pickleball Courts,247 Avenida La Pata,San Clemente,CA,92673,33.45451,-117.60851,Park
Tustin Sports Park Pickleball Courts,12850 Robinson Dr,Tustin,CA,92782,33.73451,-117.78851,Park
Portola Springs Community Park,900 Tomato Springs,Irvine,CA,92618,33.70851,-117.73451,Park
Heritage Community Park Pickleball Courts,14301 Yale Ave,Irvine,CA,92604,33.70121,-117.78451,Park
Fountain Valley Sports Park,16400 Brookhurst St,Fountain Valley,CA,92708,33.72121,-117.95451,Park
Laguna Niguel Regional Park,28241 La Paz Rd,Laguna Niguel,CA,92677,33.54851,-117.70851,Park
Cabrillo Park Pickleball Courts,1820 E Fruit St,Santa Ana,CA,92701,33.75451,-117.84851,Park
Memorial Park Pickleball Courts Santa Monica,1401 Olympic Blvd,Santa Monica,CA,90404,34.02121,-118.47851,Park
