image,name,address,city,state,zip,lat,lng, type
Turkey Thicket Recreation Center Courts,1100 Michigan Ave NE,Washington,DC,20017,38.9345,-76.9915,Park
Banneker Community Center Courts,2500 Georgia Ave NW,Washington,DC,20001,38.9245,-77.0215,Park
Sherwood Recreation Center Courts,640 10th St NE,Washington,DC,20002,38.8985,-76.9915,Park
Edgewood Recreation Center Courts,300 Evarts St NE,Washington,DC,20002,38.9245,-77.0015,Park
Lafayette Recreation Center Courts,5900 33rd St NW,Washington,DC,20015,38.9685,-77.0685,Park
Randall Community Center Courts,820 S Capitol St SW,Washington,DC,20024,38.8815,-77.0085,Park
Palisades Community Center Courts,5200 Sherier Pl NW,Washington,DC,20016,38.9285,-77.0985,Park
Takoma Community Center Courts,300 Van Buren St NW,Washington,DC,20012,38.9715,-77.0185,Park
Hearst Recreation Center Courts,3950 37th St NW,Washington,DC,20008,38.9415,-77.0715,Park
Stead Recreation Center Courts,1625 P St NW,Washington,DC,20036,38.9095,-77.0385,Park
Guy Mason Recreation Center Courts,3600 Calvert St NW,Washington,DC,20007,38.9215,-77.0715,Park
Rose Park Pickleball Courts,2609 Dumbarton St NW,Washington,DC,20007,38.9085,-77.0545,Park
Chevy Chase Recreation Center Courts,5601 Connecticut Ave NW,Washington,DC,20015,38.9645,-77.0745,Park
Fort Stevens Recreation Center Courts,1327 Van Buren St NW,Washington,DC,20012,38.9715,-77.0315,Park
Petworth Recreation Center Courts,801 Taylor St NW,Washington,DC,20011,38.9415,-77.0245,Park
Raymond Recreation Center Courts,3725 10th St NW,Washington,DC,20010,38.9385,-77.0285,Park
Park View Community Center Courts,693 Otis Pl NW,Washington,DC,20010,38.9345,-77.0245,Park
Rosedale Recreation Center Courts,1701 Gales St NE,Washington,DC,20002,38.8985,-76.9785,Park
Kennedy Recreation Center Courts,1401 7th St NW,Washington,DC,20001,38.9085,-77.0215,Park
King-Greenleaf Recreation Center Courts,201 N St SW,Washington,DC,20024,38.8745,-77.0145,Park
Arthur Capper Community Center Courts,1000 5th St SE,Washington,DC,20003,38.8785,-77.0015,Park
Ridge Road Community Center Courts,830 Ridge Rd SE,Washington,DC,20019,38.8815,-76.9385,Park
Fort Davis Community Center Courts,1400 41st St SE,Washington,DC,20020,38.8685,-76.9485,Park
Hillcrest Recreation Center Courts,3100 Denver St SE,Washington,DC,20020,38.8645,-76.9615,Park
Anacostia Park Tennis & Pickleball Courts,1900 Anacostia Dr SE,Washington,DC,20020,38.8745,-76.9815,Park
