image,name,address,city,state,zip,lat,lng, type
ONE+ Pickleball Club,1790 E Irlo Bronson Memorial Hwy,St Cloud,FL,34771,28.243908,-81.258129,Business
picklr.png,The Picklr Orlando North,1150 E Altamonte Dr,Altamonte Springs,FL,32701,28.66541,-81.36541,Business
The Fort at Snyder Park,3299 SW 4th Ave,Fort Lauderdale,FL,33315,26.08982,-80.14951,Business
Crush Yard Pickleball Club,7840 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,28.34451,-81.60121,Business
ClearOne Sports Centre,4141 John Young Pkwy,Orlando,FL,32804,28.59121,-81.40851,Business
Ultra Padel and Pickleball Club,6301 NE 4th Ave,Miami,FL,33138,25.83411,-80.19121,Business
Smash Padel and Pickleball Club,14401 NW 42nd Ave,Opa-locka,FL,33054,25.90451,-80.26451,Business
SVB Tennis and Wellness Center,5650 Zephyr Park Dr,Zephyrhills,FL,33542,28.24121,-82.20451,Business
Sundial Beach Resort & Spa,1451 Middle Gulf Dr,Sanibel,FL,33957,26.43121,-82.06211,Business
The Boulevard Tennis and Pickleball Club,1620 Boulevard Village Way,Vero Beach,FL,32967,27.65981,-80.40451,Business
Dill Dinkers Melbourne,4250 Dow Rd,Melbourne,FL,32934,28.14851,-80.68451,Business
Woodmont Country Club Pickleball,7801 NW 80th Ave,Tamarac,FL,33321,26.21851,-80.25851,Business
JW Marriott Marco Island Beach Resort,400 S Collier Blvd,Marco Island,FL,34145,25.93211,-81.72451,Business
Pictona at Holly Hill,1060 Ridgewood Ave,Holly Hill,FL,32117,29.23981,-81.04121,Park
The Villages Eisenhower Recreation Complex,3560 Buena Vista Blvd,The Villages,FL,32163,28.85981,-82.01451,Park
The Villages Rohan Recreation Complex,850 Kristine Way,The Villages,FL,32163,28.82451,-81.99851,Park
The Villages Seabreeze Recreation Complex,2384 Buena Vista Blvd,The Villages,FL,32162,28.89541,-81.98951,Park
Fort Gatlin Recreation Complex,2005 E Lake Compton Dr,Orlando,FL,32806,28.49851,-81.35451,Park
Cady Way Park Pickleball Courts,2525 Cady Way,Winter Park,FL,32792,28.59851,-81.30951,Park
