image,name,address,city,state,zip,lat,lng, type
Kewalo Basin Park Pickleball Courts,1125 Ala Moana Blvd,Honolulu,HI,96814,21.2915,-157.8585,Park
Diamond Head Tennis & Pickleball Center,3908 Paki Ave,Honolulu,HI,96815,21.2685,-157.8185,Park
Ala Moana Regional Park Courts,1201 Ala Moana Blvd,Honolulu,HI,96814,21.2885,-157.8485,Park
Manoa Valley District Park Courts,2721 Kaaipu Ave,Honolulu,HI,96822,21.3115,-157.8115,Park
Kilauea District Park Courts,4103 Kilauea Ave,Honolulu,HI,96816,21.2745,-157.7945,Park
Kaimuki Community Park Courts,3521 Waialae Ave,Honolulu,HI,96816,21.2845,-157.8045,Park
Keehi Lagoon Memorial Park Courts,2685 N Nimitz Hwy,Honolulu,HI,96819,21.3385,-157.8945,Park
Kailua District Park Pickleball Courts,21 S Kainalu Dr,Kailua,HI,96734,21.3985,-157.7415,Park
Kaneohe District Park Courts,45-660 Keaahala Rd,Kaneohe,HI,96744,21.4115,-157.8015,Park
Pearl City District Park Courts,785 Hoomaemae St,Pearl City,HI,96782,21.4015,-157.9685,Park
Mililani District Park Courts,94-200 Leolua St,Mililani,HI,96789,21.4485,-158.0115,Park
Patsy T. Mink Central Oahu Regional Park,94-801 Kamehameha Hwy,Waipahu,HI,96797,21.4285,-158.0145,Park
Ewa Mahiko District Park Courts,91-1205 Renton Rd,Ewa Beach,HI,96706,21.3415,-158.0385,Park
Kapolei Regional Park Courts,Manawai St,Kapolei,HI,96707,21.3385,-158.0815,Park
Asing Community Park Courts,91-1450 Renton Rd,Ewa Beach,HI,96706,21.3445,-158.0285,Park
Waipahu District Park Courts,94-230 Paiwa St,Waipahu,HI,96797,21.3885,-158.0085,Park
Kahului Community Center Courts,275 Uhu St,Kahului,HI,96732,20.8885,-156.4715,Park
Eddie Tam Memorial Center Courts,931 Makawao Ave,Makawao,HI,96768,20.8545,-156.3145,Park
Kalama Beach Park Pickleball Courts,1900 S Kihei Rd,Kihei,HI,96753,20.7385,-156.4515,Park
Waipuilani Park Courts,S Kihei Rd,Kihei,HI,96753,20.7515,-156.4585,Park
Lahaina Civic Center Courts,1840 Honoapiilani Hwy,Lahaina,HI,96761,20.9085,-156.6885,Park
Lincoln Park Courts Hilo,Kinoole St,Hilo,HI,96720,19.7215,-155.0885,Park
Malama Park Courts,"Pahoa, HI",Pahoa,HI,96778,19.5015,-154.9515,Park
Old Kona Airport State Rec Area Pickleball,75-5560 Kuakini Hwy,Kailua-Kona,HI,96740,19.6415,-155.9985,Park
Kalaheo Neighborhood Center Courts,Papalina Rd,Kalaheo,HI,96741,21.9215,-159.5285,Park
Kapaa New Town Park Courts,Kahau Rd,Kapaa,HI,96746,22.0885,-159.3215,Park
"Honolulu Kapiolani Park Courts","3840 Paki Ave","Honolulu","HI","96815",21.2689,-157.8189,Free
"Honolulu Ala Moana Regional Park Courts","1201 Ala Moana Blvd","Honolulu","HI","96814",21.2912,-157.8489,Free
"Honolulu Diamond Head Tennis & Pickleball Center","Paki Ave","Honolulu","HI","96815",21.2612,-157.8112,Free
"Honolulu Manoa District Park","2721 Kaaipu Ave","Honolulu","HI","96822",21.3112,-157.8089,Free
"Honolulu Makiki District Park","1527 Keeaumoku St","Honolulu","HI","96822",21.3089,-157.8389,Free
"Honolulu Petrie Community Park","1039 20th Ave","Honolulu","HI","96816",21.2912,-157.7889,Free
"Honolulu Koko Head District Park","423 Kaumakani St","Honolulu","HI","96825",21.2889,-157.7089,Free
"Honolulu Kamiloiki Community Park","7750 Hawaii Kai Dr","Honolulu","HI","96825",21.3012,-157.6989,Free
"Honolulu Moanalua Community Park","2900 Ala Ilima St","Honolulu","HI","96818",21.3589,-157.9012,Free
"Honolulu Kalihi Valley District Park","1911 Kam IV Rd","Honolulu","HI","96819",21.3512,-157.8689,Free
"Honolulu Salt Lake District Park","1159 Ala Lilikoi St","Honolulu","HI","96818",21.3589,-157.9189,Free
"Honolulu Aina Haina Community Park","827 W Hind Dr","Honolulu","HI","96821",21.2812,-157.7512,Free
"Kailua District Park Courts","21 S Kainalu Dr","Kailua","HI","96734",21.3989,-157.7412,Free
"Kaneohe District Park","45-660 Keaahala Rd","Kaneohe","HI","96744",21.4112,-157.8012,Free
"Pearl City District Park","785 Hoomaemae St","Pearl City","HI","96782",21.4012,-157.9689,Free
"Aiea District Park","99-1650 Aiea Heights Dr","Aiea","HI","96701",21.3889,-157.9289,Free
"Ewa Beach Community Park","91-955 North Rd","Ewa Beach","HI","96706",21.3189,-158.0089,Free
"Mililani District Park","94-200 Leokane St","Mililani","HI","96789",21.4512,-158.0112,Free
"Waipahu District Park","94-230 Paiwa St","Waipahu","HI","96797",21.3889,-158.0112,Free
"Wahiawa District Park","1129 Kilani Ave","Wahiawa","HI","96786",21.5012,-158.0212,Free
"Haleiwa Beach Park Courts","62-449 Kamehameha Hwy","Haleiwa","HI","96712",21.5989,-158.1112,Free
"Waialua Community Park","67-180 Kealohanui St","Waialua","HI","96791",21.5789,-158.1289,Free
"Kahuku District Park","56-425 Kamehameha Hwy","Kahuku","HI","96731",21.6789,-157.9512,Free
"Waimanalo District Park","41-415 Hihimanu St","Waimanalo","HI","96795",21.3489,-157.7189,Free
"Kahului War Memorial Complex Courts","700 Halia Nakoa Way","Kahului","HI","96732",20.8912,-156.4889,Free
"Kahului Community Center Park","275 Uhu St","Kahului","HI","96732",20.8889,-156.4689,Free
"Wailuku Wells Park","Wells St","Wailuku","HI","96793",20.8889,-156.5089,Free
"Kihei Kalama Park Pickleball Courts","1900 S Kihei Rd","Kihei","HI","96753",20.7289,-156.4489,Free
"Kihei Regional Park","E Lipoa St","Kihei","HI","96753",20.7512,-156.4412,Free
"Wailea Tennis & Pickleball Club","131 Wailea Ike Pl","Wailea","HI","96753",20.6889,-156.4389,Business
"Kaanapali Tennis & Pickleball Club","2525 Kaanapali Pkwy","Lahaina","HI","96761",20.9289,-156.6912,Business
"Napili Park","Maiha St","Lahaina","HI","96761",20.9889,-156.6612,Free
"Makawao Eddie Tam Memorial Center Courts","931 Makawao Ave","Makawao","HI","96768",20.8512,-156.3112,Community
"Pukalani Mayor Hannibal Tavares Community Center Courts","91 Pukalani St","Pukalani","HI","96768",20.8389,-156.3489,Community
"Kula Community Center Courts","East Calasa Rd","Kula","HI","96790",20.7889,-156.3289,Free
"Paia Community Center Park","Hana Hwy","Paia","HI","96779",20.9189,-156.3789,Community
"Hana Ballpark Courts","Uakea Rd","Hana","HI","96713",20.7589,-155.9812,Free
"Hilo Malama Park Courts","Kalanianaole Ave","Hilo","HI","96720",19.7289,-155.0512,Free
"Hilo Lincoln Park Courts","Kinoole St & Ponahawai St","Hilo","HI","96720",19.7189,-155.0889,Free
"Hilo Wong Stadium Recreation Complex","Ho'olulu Park","Hilo","HI","96720",19.7112,-155.0689,Free
"Kona Old Airport Beach Park Pickleball Complex","75-5560 Kuakini Hwy","Kailua-Kona","HI","96740",19.6489,-156.0012,Free
"Kona Greenwell Park","Mamalahoa Hwy","Captain Cook","HI","96704",19.4989,-155.9189,Free
"Kona Higashihara Park","Kuakini Hwy","Keauhou","HI","96739",19.5612,-155.9389,Free
"Waikoloa Village Association Courts","68-1792 Melia St","Waikoloa","HI","96738",19.9389,-155.7912,Community
"Waimea County Park Courts","Mamalahoa Hwy","Waimea","HI","96743",20.0212,-155.6689,Free
"North Kohala Kamehameha Park","Akoni Pule Hwy","Kapaau","HI","96755",20.2289,-155.8012,Free
"Honokaa County Park","Mamane St","Honokaa","HI","96727",20.0789,-155.4612,Free
"Pahoa District Park","15-3022 Kauhale St","Pahoa","HI","96778",19.4989,-154.9489,Free
"Mountain View Park","Volcano Rd","Mountain View","HI","96771",19.5512,-155.1089,Free
"Volcano Cooper Center Courts","Wright Rd","Volcano","HI","96785",19.4412,-155.2389,Community
"Pahala Community Center Courts","Pikake St","Pahala","HI","96777",19.2012,-155.4789,Community
"Naalehu County Park","Mamalahoa Hwy","Naalehu","HI","96772",19.0612,-155.5812,Free
"Ocean View Community Center Courts","Kahuku Blvd","Ocean View","HI","96737",19.1112,-155.7689,Community
"Lihue Isenberg Park Courts","4300 Kaiakea St","Lihue","HI","96766",21.9789,-159.3689,Free
"Lihue Kalena Park","Kalena St","Lihue","HI","96766",21.9712,-159.3712,Free
"Kapaa Bryan J. Baptiste Sports Complex","4-500 Kuhio Hwy","Kapaa","HI","96746",22.0812,-159.3112,Free
"Kapaa Beach Park Courts","Kuhio Hwy","Kapaa","HI","96746",22.0712,-159.3189,Free
"Hanalei Waioli Park","Weke Rd","Hanalei","HI","96714",22.2089,-159.5012,Free
"Princeville Makai Club Courts","4080 Lei O Papa Rd","Princeville","HI","96722",22.2189,-159.4889,Business
