image,name,address,city,state,zip,lat,lng, type
picklr.png,The Picklr Indianapolis,3810 W 86th St,Indianapolis,IN,46268,39.9085,-86.2215,Business
Community Sports & Wellness Pickleball,395 S Heritage Way,Pendleton,IN,46064,39.9985,-85.7485,Business
Fort Wayne Pickleball Club,7555 Voohrees Rd,Fort Wayne,IN,46825,41.1445,-85.1215,Business
Evansville Tennis & Pickleball Center,5428 Davis Lant Dr,Evansville,IN,47715,37.9885,-87.4815,Business
Broad Ripple Park Pickleball Courts,1550 Broad Ripple Ave,Indianapolis,IN,46220,39.8685,-86.1345,Park
Ellenberger Park Courts,5301 E Saint Clair St,Indianapolis,IN,46219,39.7785,-86.0785,Park
Garfield Park Pickleball Courts,2345 Pagoda Dr,Indianapolis,IN,46203,39.7315,-86.1485,Park
Riverside Park Courts,2420 E Riverside Dr,Indianapolis,IN,46208,39.7985,-86.1845,Park
Tarkington Park Courts,45 W 40th St,Indianapolis,IN,46208,39.8285,-86.1585,Park
Meadowood Park Courts,5700 W 30th St,Speedway,IN,46224,39.8085,-86.2585,Park
Carmel Central Park Pickleball Courts,1195 Central Park Dr W,Carmel,IN,46032,39.9615,-86.1445,Park
Meadowbrook Park Courts,8544 E 106th St,Fishers,IN,46038,39.9415,-86.0185,Park
Cyntheanne Park Pickleball Complex,12385 Cyntheanne Rd,Fishers,IN,46037,39.9685,-85.9185,Park
Billericay Park Courts,12690 Promise Rd,Fishers,IN,46038,39.9745,-85.9815,Park
Forest Park Noblesville,701 Cicero Rd,Noblesville,IN,46060,40.0545,-86.0245,Park
Finch Creek Park Pickleball Courts,16224 Boden Rd,Noblesville,IN,46060,40.0245,-85.9415,Park
Mulberry Health Park Courts,"Mulberry, IN",Zionsville,IN,46077,39.9515,-86.2615,Park
Lions Park Zionsville,115 S Elm St,Zionsville,IN,46077,39.9485,-86.2585,Park
Craig Park Pickleball Courts,10 E Smith Valley Rd,Greenwood,IN,46142,39.6115,-86.1115,Park
Freedom Park Greenwood,850 Stop 18 Rd,Greenwood,IN,46143,39.5885,-86.1345,Park
Franklin Recreation Complex Courts,396 Branigin Rd,Franklin,IN,46131,39.4745,-86.0545,Park
Foster Park Pickleball Complex,3900 S Calhoun St,Fort Wayne,IN,46807,41.0445,-85.1485,Park
Lakeside Park Courts,1401 Lake Ave,Fort Wayne,IN,46805,41.0845,-85.1215,Park
Shoaff Park Courts,6401 St Joe Rd,Fort Wayne,IN,46835,41.1415,-85.0985,Park
Kreager Park Courts,7225 N River Rd,Fort Wayne,IN,46815,41.0945,-85.0445,Park
Leeper Park Pickleball Complex,907 Riverside Dr,South Bend,IN,46616,41.6885,-86.2545,Park
Boehm Park Courts,2400 Twyckenham Dr,South Bend,IN,46615,41.6685,-86.2185,Park
Central Park Mishawaka,295 E Mishawaka Ave,Mishawaka,IN,46544,41.6645,-86.1745,Park
RCA Community Park Pickleball Courts,1400 W RCA Park Dr,Bloomington,IN,47403,39.1385,-86.5515,Park
Sherwood Oaks Park Courts,1600 E Elliston Dr,Bloomington,IN,47401,39.1315,-86.5145,Park
Switchyard Park Pickleball Courts,1601 S Rogers St,Bloomington,IN,47403,39.1485,-86.5385,Park
Wesselman Park Pickleball Complex,551 N Boeke Rd,Evansville,IN,47711,37.9845,-87.5085,Park
Goebel Soccer & Pickleball Complex,6800 N Green River Rd,Evansville,IN,47725,38.0485,-87.4945,Park
Forest Park Terre Haute,2000 S 19th St,Terre Haute,IN,47802,39.4445,-87.3885,Park
Highland Park Kokomo,900 W Defenbaugh St,Kokomo,IN,46902,40.4645,-86.1415,Park
