image,name,address,city,state,zip,lat,lng, type
cnp.png,Chicken N Pickle - Overland Park,5901 W 135th St,Overland Park,KS,66223,38.8845,-94.6545,Business
cnp.png,Chicken N Pickle - Wichita,1240 N Greenwich Rd,Wichita,KS,67206,37.7085,-97.2085,Business
SERV Pickleball & Entertainment,9051 Metcalf Ave,Overland Park,KS,66212,38.9645,-94.6685,Business
Smash Park Olathe,12140 S Strang Line Rd,Olathe,KS,66062,38.9085,-94.7815,Business
Genesis Health Clubs Pickleball - Wichita,1551 N Rock Rd,Wichita,KS,67206,37.7145,-97.2445,Business
Swarner Park Pickleball Complex,6224 Lackman Rd,Shawnee,KS,66217,38.9885,-94.7615,Park
Bois D'Arc Park Courts,88th & Lackman Rd,Lenexa,KS,66219,38.9685,-94.7645,Park
Sar-Ko-Par Trails Park Courts,87th St Pkwy & Lackman Rd,Lenexa,KS,66215,38.9715,-94.7485,Park
Meadowbrook Park Pickleball Courts,9101 Nall Ave,Prairie Village,KS,66207,38.9645,-94.6485,Park
Franklin Park Courts,Roe Ave & Somerset Dr,Prairie Village,KS,66208,38.9945,-94.6385,Park
Harmon Park Courts,7727 Delmar St,Prairie Village,KS,66208,38.9885,-94.6315,Park
Roe Park Pickleball Courts,10400 Roe Ave,Overland Park,KS,66207,38.9415,-94.6385,Park
Young's Park Courts,7701 Antioch Rd,Overland Park,KS,66204,38.9885,-94.6885,Park
Two Trails Park Courts,College Blvd & Ridgeview Rd,Olathe,KS,66061,38.9285,-94.8145,Park
Black Bob Park Pickleball Courts,14500 S Lackman Rd,Olathe,KS,66062,38.8685,-94.7615,Park
Heritage Park Olathe,16050 Pflumm Rd,Olathe,KS,66062,38.8345,-94.7485,Park
Riverside Tennis & Pickleball Center,551 N Nims St,Wichita,KS,67203,37.6945,-97.3545,Park
Edgemoor Park Pickleball Courts,5815 E 9th St N,Wichita,KS,67208,37.7015,-97.2715,Park
Seneca Park Courts,2400 S Seneca St,Wichita,KS,67217,37.6585,-97.3585,Park
Pracht Wetlands Park Courts,9926 W 29th St N,Wichita,KS,67205,37.7385,-97.4585,Park
Sedgwick County Park Courts,6501 W 21st St N,Wichita,KS,67205,37.7245,-97.4215,Park
Sports Pavilion Lawrence Pickleball Courts,100 Rock Chalk Ln,Lawrence,KS,66049,38.9885,-95.3185,Park
Holcom Park Courts,2700 W 27th St,Lawrence,KS,66047,38.9345,-95.2685,Park
Lyons Park Courts,700 N Lyon St,Lawrence,KS,66044,38.9785,-95.2385,Park
Hughes Park Pickleball Courts,Hughes Rd,Topeka,KS,66604,39.0345,-95.7115,Park
Kossover Tennis & Pickleball Center,2501 SW Gage Blvd,Topeka,KS,66614,39.0285,-95.7285,Park
Gage Park Courts,635 SW Gage Blvd,Topeka,KS,66606,39.0585,-95.7285,Park
Bill Snyder Family Park Courts,"Manhattan, KS",Manhattan,KS,66502,39.1885,-96.5885,Park
CiCo Park Pickleball Courts,Kimball Ave,Manhattan,KS,66503,39.2015,-96.6115,Park
Carey Park Pickleball Complex,S Main St,Hutchinson,KS,67501,38.0385,-97.9315,Park
