image,name,address,city,state,zip,lat,lng, type
EP Tom Sawyer State Park Courts,3000 Freys Hill Rd,Louisville,KY,40241,38.2845,-85.5585,Park
Seneca Park Pickleball Courts,3151 Pee Wee Reese Rd,Louisville,KY,40207,38.2385,-85.6745,Park
Des Pres Park Courts,4700 Lowe Rd,Louisville,KY,40220,38.2085,-85.5885,Park
Hounz Lane Park,2300 Hounz Ln,Louisville,KY,40223,38.2815,-85.5415,Park
Sun Valley Park Courts,6505 Bethany Ln,Louisville,KY,40272,38.1185,-85.8545,Park
Wyandotte Park Pickleball Courts,1104 Beecher St,Louisville,KY,40215,38.1985,-85.7845,Park
Charlie Vettiner Park,5550 Charlie Vettiner Park Rd,Louisville,KY,40299,38.1685,-85.5215,Park
Berrytown Park Courts,1300 Evergreen Rd,Louisville,KY,40223,38.2485,-85.5185,Park
Kirklevington Park Pickleball Complex,396 Felder Dr,Lexington,KY,40517,37.9885,-84.4985,Park
Merrick Park Courts,2550 Merrick Dr,Lexington,KY,40502,37.9945,-84.4845,Park
Shillito Park Courts,300 W Reynolds Rd,Lexington,KY,40503,37.9845,-84.5445,Park
Castlewood Park Courts,201 Castlewood Dr,Lexington,KY,40505,38.0585,-84.4785,Park
Ecton Park Courts,956 Turkey Foot Rd,Lexington,KY,40502,38.0215,-84.4815,Park
Kenawood Park Courts,Kenawood Dr,Lexington,KY,40505,38.0515,-84.4545,Park
Kereiakes Park Pickleball Complex,1220 Fairview Ave,Bowling Green,KY,42103,36.9815,-86.4185,Park
Buchanon Park Courts,9222 Nashville Rd,Bowling Green,KY,42101,36.8885,-86.5385,Park
Lampkin Park Courts,938 Morgantown Rd,Bowling Green,KY,42101,36.9945,-86.4685,Park
Preston Arts Center Courts,"Henderson, KY",Henderson,KY,42420,37.8345,-87.5885,Park
Centre Court Owensboro Pickleball,Bittel Rd,Owensboro,KY,42301,37.7685,-87.1485,Business
Moreland Park Courts,1215 Hickman Ave,Owensboro,KY,42301,37.7545,-87.1185,Park
Yellow Creek Park,5710 KY-144,Owensboro,KY,42303,37.7785,-87.0345,Park
Pioneer Park Pickleball Complex,3952 Dudley Rd,Covington,KY,41017,39.0285,-84.5515,Park
Devou Park Courts,1201 Park Dr,Covington,KY,41011,39.0815,-84.5385,Park
Tower Park Courts,900 S Fort Thomas Ave,Fort Thomas,KY,41075,39.0685,-84.4445,Park
Boone Woods Park Courts,6000 Veterans Way,Burlington,KY,41005,39.0145,-84.7185,Park
Central Park Union,9190 Camp Ernst Rd,Union,KY,41091,38.9745,-84.6845,Park
Lake Reba Recreation Complex,299 Lake Reba Dr,Richmond,KY,40475,37.7385,-84.2645,Park
Capitol View Park Courts,Clifton Ave,Frankfort,KY,40601,38.1885,-84.8685,Park
East Frankfort Park Courts,300 Myrtle Ave,Frankfort,KY,40601,38.2045,-84.8485,Park
Noble Park Courts,2801 Park Ave,Paducah,KY,42001,37.0785,-88.6345,Park
"Louisville Seneca Park","3151 Pee Wee Reese Rd","Louisville","KY","40207",38.2489,-85.6712,Free
"Louisville Tom Sawyer State Park","3000 Freys Hill Rd","Louisville","KY","40241",38.2812,-85.5512,Free
"Louisville Des Pres Park","4706 Lowe Rd","Louisville","KY","40220",38.2089,-85.5889,Free
"Lexington Shillito Park","300 W Reynolds Rd","Lexington","KY","40503",37.9889,-84.5389,Free
"Lexington Kirklevington Park","396 Landsdowne Dr","Lexington","KY","40517",37.9912,-84.4889,Free
"Bowling Green Preston Miller Park","2303 Tomblinson Way","Bowling Green","KY","42101",37.0123,-86.4689,Free
"Bowling Green Kereiakes Park","1220 Fairview Ave","Bowling Green","KY","42103",36.9812,-86.4212,Free
"Owensboro Moreland Park","1215 Hickman Ave","Owensboro","KY","42301",37.7612,-87.1212,Free
"Covington Devou Park","1201 Park Dr","Covington","KY","41011",39.0812,-84.5389,Free
"Florence Central Park","9100 Ewing Blvd","Florence","KY","41042",38.9989,-84.6289,Free
"Richmond Lake Reba Recreation Complex","299 Lake Reba Dr","Richmond","KY","40475",37.7412,-84.2612,Free
"Georgetown Ed Davis Park","151 Ed Davis Ln","Georgetown","KY","40324",38.2123,-84.5612,Free
