image,name,address,city,state,zip,lat,lng, type
Wolverine Pickleball Club,235 Innovation Dr,Ann Arbor,MI,48108,42.2285,-83.7485,Business
All-In Pickleball Gym,700 W Savidge St,Spring Lake,MI,49456,43.0785,-86.2085,Business
The Hawk Pickleball Center,29995 W 12 Mile Rd,Farmington Hills,MI,48334,42.4985,-83.3445,Business
Great Lakes Pickleball Club,1826 Southwood Ave SE,Grand Rapids,MI,49508,42.8945,-85.6445,Business
Midland Tennis & Pickleball Center,900 E Fairgrove Ave,Midland,MI,48640,43.6215,-84.2215,Business
Palmer Park Pickleball Courts,910 Merrill Plaisance St,Detroit,MI,48203,42.4285,-83.1185,Park
Chandler Park Courts,12831 Franke St,Detroit,MI,48213,42.3885,-82.9745,Park
Clark Park Courts,1130 Clark St,Detroit,MI,48209,42.3215,-83.0945,Park
Belanger Park Courts,Belanger Park Dr,River Rouge,MI,48218,42.2715,-83.1215,Park
Belle Isle Park Courts,Inselruhe Ave,Detroit,MI,48207,42.3415,-82.9815,Park
Leslie Park Pickleball Courts,2750 Traver Rd,Ann Arbor,MI,48105,42.3085,-83.7215,Park
South Maple Park Courts,Maple Rd & Liberty St,Ann Arbor,MI,48103,42.2745,-83.7845,Park
Belvidere Park Courts,Belvidere Ave,Troy,MI,48083,42.5685,-83.1415,Park
Borden Park Pickleball Complex,1400 E Hamlin Rd,Rochester Hills,MI,48307,42.6615,-83.1085,Park
Halmich Park Courts,3001 13 Mile Rd,Warren,MI,48092,42.5185,-83.0615,Park
Civic Center Park Courts,360 W 13 Mile Rd,Madison Heights,MI,48071,42.5185,-83.1115,Park
Heritage Park Farmington Hills,24915 Farmington Rd,Farmington Hills,MI,48336,42.4685,-83.3785,Park
Belanger Park Royal Oak,1314 S Washington Ave,Royal Oak,MI,48067,42.4785,-83.1445,Park
Belair Park Novi,Novi Rd,Novi,MI,48375,42.4785,-83.4785,Park
Belcrest Park Livonia,Lyndon St,Livonia,MI,48154,42.3915,-83.3745,Park
Belden Park Grand Rapids,Belden Ave SW,Wyoming,MI,49509,42.9185,-85.6985,Park
Belknap Park Pickleball Complex,30 Coldbrook St NE,Grand Rapids,MI,49503,42.9785,-85.6615,Park
MacKay-Jaycees Park,2531 Kalamazoo Ave SE,Grand Rapids,MI,49507,42.9215,-85.6315,Park
Manhattan Park Courts,430 Manhattan Rd SE,East Grand Rapids,MI,49506,42.9415,-85.6015,Park
Brewer Park Pickleball Complex,399 84th St SE,Byron Center,MI,49315,42.8085,-85.6715,Park
Cascade Township Park,3810 Thornapple River Dr SE,Grand Rapids,MI,49546,42.9115,-85.5085,Park
Hager Park Courts,8212 28th Ave,Jenison,MI,49428,42.8945,-85.8315,Park
Smallenburg Park Pickleball Complex,16th St & Fairbanks Ave,Holland,MI,49423,42.7845,-86.0985,Park
Moran Park Courts,22nd St & Maple Ave,Holland,MI,49423,42.7785,-86.1115,Park
Frandor / Eastside Park Courts,"Lansing, MI",Lansing,MI,48912,42.7415,-84.5215,Park
Patriarche Park Pickleball Complex,960 Alton Rd,East Lansing,MI,48823,42.7545,-84.4785,Park
Granger Meadows Park,1753 Granger Dr,Lansing,MI,48906,42.7885,-84.5385,Park
Kindleberger Park Courts,Park Ave,Parchment,MI,49004,42.3285,-85.5785,Park
Frays Park Courts,4400 N 4th St,Kalamazoo,MI,49009,42.3145,-85.6715,Park
Bowers Harbor Park,12146 Center Rd,Traverse City,MI,49686,44.8945,-85.5385,Park
"Grand Rapids Belknap Park","30 Coldbrook St NE","Grand Rapids","MI","49503",42.9781,-85.6612,Free
"Ann Arbor Leslie Park","2750 Traver Rd","Ann Arbor","MI","48105",42.3121,-83.7212,Free
"Troy Community Center","3179 Livernois Rd","Troy","MI","48083",42.5612,-83.1489,Community
"Lansing Ranney Park","3300 E Michigan Ave","Lansing","MI","48912",42.7321,-84.5123,Free
"Kalamazoo Frays Park","4400 N 10th St","Kalamazoo","MI","49009",42.3212,-85.6712,Free
"Flint Mott Park Recreation Area","2701 Nolen Dr","Flint","MI","48504",43.0212,-83.7212,Free
"Sterling Heights Baumgartner Park","13000 15 Mile Rd","Sterling Heights","MI","48312",42.5512,-83.0212,Free
"Warren Halmich Park","3001 13 Mile Rd","Warren","MI","48092",42.5212,-83.0512,Free
"Livonia Bicentennial Park","36000 Seven Mile Rd","Livonia","MI","48152",42.4289,-83.4012,Free
"Farmington Hills Founders Sports Park","35500 Eight Mile Rd","Farmington Hills","MI","48335",42.4412,-83.3989,Free
"Canton Heritage Park","1150 S Canton Center Rd","Canton","MI","48188",42.3089,-83.4845,Free
"Rochester Municipal Park","400 6th St","Rochester","MI","48307",42.6845,-83.1389,Free
"Novi Lakeshore Park","601 S Lake Dr","Novi","MI","48375",42.4845,-83.4912,Free
"Battle Creek Riverside Park","21033 24th St N","Battle Creek","MI","49015",42.3012,-85.2012,Free
"Saginaw Garber Tennis & Pickleball Courts","1655 Bay St","Saginaw","MI","48602",43.4389,-83.9612,Free
"Midland Central Park Courts","1201 W Collins St","Midland","MI","48640",43.6212,-84.2412,Free
"Holland Moran Park Courts","400 W 22nd St","Holland","MI","49423",42.7789,-86.1145,Free
"Muskegon McGraft Park","2204 Wickham Dr","Muskegon","MI","49441",43.2189,-86.2789,Free
"Bay City Carroll Park","1501 Center Ave","Bay City","MI","48708",43.5945,-83.8712,Free
"Jackson Loomis Park Courts","210 Gilbert St","Jackson","MI","49201",42.2512,-84.3845,Free
"Portage Ramona Park","8600 S 12th St","Portage","MI","49024",42.1845,-85.6012,Free
"East Lansing Patriarche Park","960 Alton Rd","East Lansing","MI","48823",42.7489,-84.4712,Free
"Dearborn Ford Woods Park","5700 Greenfield Rd","Dearborn","MI","48126",42.3289,-83.2012,Free
"Westland Central City Park","1901 N Carlson St","Westland","MI","48185",42.3389,-83.3845,Free
"Southfield Civic Center Courts","26000 Evergreen Rd","Southfield","MI","48076",42.4812,-83.2412,Community
"Royal Oak Kenwood Park","2000 Kenwood Ave","Royal Oak","MI","48067",42.5012,-83.1612,Free
"Traverse City Civic Center","1213 W Civic Center Dr","Traverse City","MI","49686",44.7589,-85.5989,Free
"Marquette Presque Isle Courts","Peter White Dr","Marquette","MI","49855",46.5889,-87.3889,Free
"Petoskey River Road Sports Complex","4070 River Rd","Petoskey","MI","49770",45.3612,-84.9412,Free
"Alpena Bay View Park","210 State Ave","Alpena","MI","49707",45.0589,-83.4312,Free
"Sault Ste Marie Pullar Stadium Courts","435 E Portage Ave","Sault Ste Marie","MI","49783",46.4989,-84.3412,Free
"Houghton Waterfront Park","200 E Lakeshore Dr","Houghton","MI","49931",47.1212,-88.5689,Free
"Escanaba Ludington Park","Ludington Park Dr","Escanaba","MI","49829",45.7412,-87.0512,Free
"Cadillac Kenwood Heritage Park","1314 S Mitchell St","Cadillac","MI","49601",44.2389,-85.4123,Free
"Mount Pleasant Island Park","331 N Main St","Mount Pleasant","MI","48858",43.6045,-84.7745,Free
"Benton Harbor Kiwanis Park","101 Lincoln Ave","Benton Harbor","MI","49022",42.1123,-86.4512,Free
"St Joseph John & Dede Howard Ice Arena Courts","2414 Willa Dr","St Joseph","MI","49085",42.0912,-86.4845,Free
"Niles Plym Park","401 Marmont St","Niles","MI","49120",41.8389,-86.2512,Free
"Adrian Riverside Park","300 McKenzie St","Adrian","MI","49221",41.8989,-84.0412,Free
"Monroe Munson Park","2770 N Custer Rd","Monroe","MI","48162",41.9312,-83.4312,Free
"Coldwater Heritage Park","17019 16 Mile Rd","Coldwater","MI","49036",41.9412,-85.0012,Free
"Sturgis Franks Park","1200 S Centerville Rd","Sturgis","MI","49091",41.7845,-85.4245,Free
"Grand Haven Mulligan's Hollow","600 Y Drive","Grand Haven","MI","49417",43.0589,-86.2312,Free
"Ludington Cartier Park","Cartier Dr","Ludington","MI","49431",43.9689,-86.4412,Free
"Manistee Sands Park","8th St & Maple St","Manistee","MI","49660",44.2389,-86.3212,Free
