image,name,address,city,state,zip,lat,lng, type
Lucky Shots Pickleball Club,3300 5th St NE,Minneapolis,MN,55418,45.0215,-93.2685,Business
Mega Pickle and Padel,13000 Bren Rd E,Minnetonka,MN,55343,44.9185,-93.4385,Business
Lake Marion Pickleball Club,"Lakeville, MN",Lakeville,MN,55044,44.6615,-93.2785,Business
Rochester Indoor Tennis & Pickleball,2100 1st St NE,Rochester,MN,55906,44.0315,-92.4415,Business
Lake Nokomis Pickleball Courts,4955 W Lake Nokomis Pkwy,Minneapolis,MN,55417,44.9145,-93.2485,Park
Kenwood Park Pickleball Courts,2101 W Franklin Ave,Minneapolis,MN,55405,44.9645,-93.3085,Park
Loring Park Courts,1382 Willow St,Minneapolis,MN,55403,44.9715,-93.2845,Park
McRae Park Courts,906 E 47th St,Minneapolis,MN,55407,44.9185,-93.2645,Park
Bohanon Park Courts,4917 Bryant Ave N,Minneapolis,MN,55430,45.0445,-93.2915,Park
Groveland Recreation Center Courts,2020 Saint Clair Ave,Saint Paul,MN,55105,44.9345,-93.1885,Park
Oxford Community Center Courts,270 Lexington Pkwy N,Saint Paul,MN,55104,44.9545,-93.1485,Park
Phalen Beach Park Courts,1400 Phalen Dr,Saint Paul,MN,55106,44.9885,-93.0645,Park
Westwood Park Pickleball Courts,3641 W 82nd St,Bloomington,MN,55431,44.8545,-93.3285,Park
Running Park Courts,9501 Columbus Ave S,Bloomington,MN,55420,44.8315,-93.2585,Park
Valley View Park Bloomington,201 E 90th St,Bloomington,MN,55420,44.8415,-93.2715,Park
Staring Lake Park Pickleball Complex,14800 Pioneer Trl,Eden Prairie,MN,55347,44.8485,-93.4685,Park
Miller Park Eden Prairie,8208 Eden Prairie Rd,Eden Prairie,MN,55344,44.8645,-93.4545,Park
Plymouth Creek Park Courts,3625 Fernbrook Ln N,Plymouth,MN,55446,45.0215,-93.4485,Park
Bass Lake Playfield,Bass Lake Rd,Plymouth,MN,55442,45.0485,-93.4285,Park
Lone Lake Park Courts,5624 Shady Oak Rd,Minnetonka,MN,55343,44.8985,-93.4215,Park
Big Willow Park Courts,11522 Minnetonka Blvd,Minnetonka,MN,55305,44.9385,-93.4285,Park
Elm Creek Playfield Courts,Elm Creek Rd,Maple Grove,MN,55369,45.1485,-93.4615,Park
Central Park Maple Grove,12000 Central Park Way,Maple Grove,MN,55369,45.0985,-93.4485,Park
Andrews Park Pickleball Complex,7200 117th Ave N,Champlin,MN,55316,45.1615,-93.3885,Park
Woodbury Lions Park Courts,2183 Keats Ave S,Woodbury,MN,55125,44.9285,-92.8945,Park
Ojibway Park Courts,2695 Ojibway Dr,Woodbury,MN,55125,44.9185,-92.9385,Park
Cooke Park Pickleball Complex,Cooke Park Rd,Rochester,MN,55901,44.0415,-92.4845,Park
McQuillan Field Pickleball Courts,1655 Marion Rd SE,Rochester,MN,55904,43.9985,-92.4285,Park
Wheeler Athletic Complex,3501 Grand Ave,Duluth,MN,55807,46.7415,-92.1715,Park
Riverside Park Courts,"St Cloud, MN",St Cloud,MN,56301,45.5485,-94.1485,Park
"Minneapolis Lake Nokomis Community Center","2401 E Minnehaha Pkwy","Minneapolis","MN","55417",44.9123,-93.2389,Community
"Minneapolis Loring Park Courts","1382 Willow St","Minneapolis","MN","55403",44.9712,-93.2812,Free
"Minneapolis Waite Park","1810 34th Ave NE","Minneapolis","MN","55418",45.0289,-93.2389,Free
"St Paul Highland Park Community Center","1978 Ford Pkwy","St Paul","MN","55116",44.9189,-93.1889,Community
"St Paul Oxford Community Center","270 Lexington Pkwy N","St Paul","MN","55104",44.9512,-93.1489,Community
"St Paul Phalen Beach Park","1400 Phalen Dr","St Paul","MN","55106",44.9889,-93.0612,Free
"Rochester Soldiers Field Park","244 Soldiers Field Dr SW","Rochester","MN","55902",44.0123,-92.4689,Free
"Rochester Cooke Park","722 7th St NW","Rochester","MN","55901",44.0312,-92.4712,Free
"Bloomington Westwood Park","10801 France Ave S","Bloomington","MN","55431",44.8089,-93.3289,Free
"Duluth Wheeler Athletic Complex","3501 Grand Ave","Duluth","MN","55807",46.7412,-92.1589,Free
"Brooklyn Park Central Park","8440 Regent Ave N","Brooklyn Park","MN","55443",45.1089,-93.3389,Free
"Plymouth Bass Lake Playfield","5450 Northwest Blvd","Plymouth","MN","55442",45.0489,-93.4389,Free
"Woodbury Ojibway Park","2695 Ojibway Dr","Woodbury","MN","55125",44.9212,-92.9412,Free
"Lakeville King Park","17305 Dodd Blvd","Lakeville","MN","55044",44.6812,-93.2412,Free
"Blaine Lexington Athletic Complex","4286 121st Ave NE","Blaine","MN","55449",45.1712,-93.1612,Free
"Maple Grove Lake Central Park","12000 Central Park Way","Maple Grove","MN","55369",45.0989,-93.4412,Free
"St Cloud Calvary Hill Park","1800 13th St S","St Cloud","MN","56301",45.5412,-94.1812,Free
"Eagan Trapp Farm Park","841 Wilderness Run Rd","Eagan","MN","55123",44.8012,-93.1589,Free
"Burnsville North River Hills Park","11501 19th Ave","Burnsville","MN","55337",44.7889,-93.2689,Free
"Eden Prairie Staring Lake Park","14800 Pioneer Trl","Eden Prairie","MN","55347",44.8412,-93.4489,Free
"Coon Rapids Sand Creek Park","1008 Northdale Blvd NW","Coon Rapids","MN","55448",45.1889,-93.3189,Free
"Apple Valley Redwood Park","311 150th St W","Apple Valley","MN","55124",44.7312,-93.2189,Free
"Edina Rosland Park","4300 W 66th St","Edina","MN","55435",44.8845,-93.3389,Free
"Minnetonka Lone Lake Park","5624 Shady Oak Rd","Minnetonka","MN","55343",44.9012,-93.4189,Free
"St Louis Park Aquila Park","3110 Xylon Ave S","St Louis Park","MN","55426",44.9489,-93.3789,Free
"Moorhead Riverfront Park","1225 1st Ave N","Moorhead","MN","56560",46.8789,-96.7789,Free
"Mankato Tourtellotte Park","300 W Mabel St","Mankato","MN","56001",44.1712,-94.0012,Free
"Maplewood Wakefield Park","1860 County Rd F E","Maplewood","MN","55109",45.0212,-93.0089,Free
