image,name,address,city,state,zip,lat,lng, type
cnp.png,Chicken N Pickle - North Kansas City,1761 Burlington St,North Kansas City,MO,64116,39.1415,-94.5785,Business
cnp.png,Chicken N Pickle - St. Charles,3722 Greens Bottom Rd,St Charles,MO,63304,38.7485,-90.5285,Business
Plaza Tennis & Pickleball Center,4747 Brookside Blvd,Kansas City,MO,64112,39.0415,-94.5845,Business
Missouri Pickleball Club,747 Gravois Bluffs Blvd,Fenton,MO,63026,38.5145,-90.4485,Business
The Kitchen Pickleball Club,845 Olive St,St Louis,MO,63101,38.6285,-90.1985,Business
Gillham Park Pickleball Courts,Gillham Rd & E 41st St,Kansas City,MO,64111,39.0545,-94.5785,Park
Swope Park Pickleball Courts,Meyer Blvd & Swope Pkwy,Kansas City,MO,64132,39.0085,-94.5285,Park
Mackie Park Courts,Mackie Dr,Kansas City,MO,64118,39.1845,-94.5645,Park
Happy Rock Park Courts,7600 NE Antioch Rd,Gladstone,MO,64119,39.2315,-94.5485,Park
Macken Park Courts,Clark Ferguson Dr,North Kansas City,MO,64116,39.1445,-94.5685,Park
Lea McKeighan Park Courts,120 NE Chipman Rd,Lee's Summit,MO,64063,38.9285,-94.3745,Park
Legacy Park Pickleball Complex,1201 NE Legacy Park Dr,Lee's Summit,MO,64086,38.9345,-94.3185,Park
Rotary Park Blue Springs,600 NW Vesper St,Blue Springs,MO,64014,39.0215,-94.2885,Park
Ward Parkway Courts,Ward Pkwy,Kansas City,MO,64114,38.9885,-94.6015,Park
Tower Grove Park Pickleball Courts,4257 Northeast Dr,St Louis,MO,63110,38.6085,-90.2585,Park
Forest Park Tennis & Pickleball Center,1 Fine Arts Dr,St Louis,MO,63110,38.6415,-90.2885,Park
Francis Park Courts,Donovan Ave & Eichelberger St,St Louis,MO,63109,38.5885,-90.2985,Park
Tilles Park Pickleball Courts,9551 Litzsinger Rd,St Louis,MO,63124,38.6185,-90.3645,Park
Creve Coeur Lake Memorial Park Courts,13725 Marine Ave,Maryland Heights,MO,63043,38.7115,-90.4915,Park
Vago Park Courts,2700 Fee Fee Rd,Maryland Heights,MO,63043,38.7285,-90.4485,Park
Chesterfield Valley Athletic Complex,17925 N Outer 40 Rd,Chesterfield,MO,63005,38.6645,-90.5985,Park
Bluebird Park Courts,225 Kiefer Creek Rd,Ellisville,MO,63021,38.5885,-90.5845,Park
McNair Park Pickleball Complex,3100 Droste Rd,St Charles,MO,63301,38.8015,-90.5285,Park
Wapelhorst Park Courts,1875 Muegge Rd,St Charles,MO,63303,38.7615,-90.5515,Park
Progress Park Courts,968 Meyer Rd,Wentzville,MO,63385,38.8185,-90.8645,Park
Perry Tennis & Pickleball Courts,"Springfield, MO",Springfield,MO,65807,37.1685,-93.3085,Park
Meador Park Courts,2500 S Fremont Ave,Springfield,MO,65804,37.1785,-93.2685,Park
Cosmo Park Pickleball Complex,1615 Business Loop 70 W,Columbia,MO,65202,38.9685,-92.3685,Park
Albert-Oakland Park,1900 Blue Ridge Rd,Columbia,MO,65202,38.9815,-92.3285,Park
Binder Park Courts,Binder Lake Rd,Jefferson City,MO,65109,38.5885,-92.2885,Park
"St Louis Forest Park Courts","5595 Grand Dr","St Louis","MO","63112",38.6412,-90.2889,Free
"St Louis Tower Grove Park","4257 Northeast Dr","St Louis","MO","63110",38.6089,-90.2589,Free
"St Louis Francis Park","5399 Donovan Ave","St Louis","MO","63109",38.5845,-90.3012,Free
"St Louis Wilmore Park","6400 Hampton Ave","St Louis","MO","63109",38.5712,-90.3089,Free
"Kansas City Minor Park","107th St & Blue River Rd","Kansas City","MO","64137",38.9289,-94.5612,Free
"Kansas City Macken Park","Clark Ferguson Dr","Kansas City","MO","64116",39.1412,-94.5712,Free
"Kansas City Gillham Park","Gillham Rd & E 39th St","Kansas City","MO","64111",39.0589,-94.5789,Free
"Springfield Meador Park","2500 S Fremont Ave","Springfield","MO","65804",37.1689,-93.2689,Free
"Springfield Chesterfield Park","2511 W Chesterfield Blvd","Springfield","MO","65807",37.1489,-93.3312,Free
"Columbia Albert-Oakland Park","1900 Blue Ridge Rd","Columbia","MO","65202",38.9812,-92.3212,Free
"Columbia Cosmo Park","1615 Business Loop 70 W","Columbia","MO","65202",38.9712,-92.3689,Free
"Independence Rotary Park","2401 S 291 Hwy","Independence","MO","64057",39.0689,-94.3812,Free
"Lee's Summit Legacy Park","901 NE Bluestem Dr","Lee's Summit","MO","64086",38.9312,-94.3212,Free
"O'Fallon Westhoff Park","810 Sheppard Dr","O'Fallon","MO","63366",38.7989,-90.7089,Free
"St Joseph Bartlett Park","SW Parkway & S 28th St","St Joseph","MO","64503",39.7412,-94.8289,Free
"St Charles Blanchette Park","1900 W Randolph St","St Charles","MO","63301",38.7912,-90.4912,Free
"St Peters City Centre Park","1 St Peters Centre Blvd","St Peters","MO","63376",38.7989,-90.6212,Free
"Blue Springs Hidden Valley Sports Complex","6500 NW Valley View Rd","Blue Springs","MO","64015",39.0489,-94.2812,Free
"Florissant Koch Park","305 Howdershell Rd","Florissant","MO","63031",38.7912,-90.3512,Free
"Joplin Campbell Parkway Courts","E 15th St","Joplin","MO","64804",37.0712,-94.5012,Free
"Chesterfield Central Park","16365 Lydia Hill Dr","Chesterfield","MO","63017",38.6612,-90.5712,Free
"Jefferson City Memorial Park","1111 Memorial Park Dr","Jefferson City","MO","65109",38.5612,-92.1789,Free
"Cape Girardeau Arena Park","410 Kiwanis Dr","Cape Girardeau","MO","63701",37.3189,-89.5512,Free
"Wildwood Community Park","2500 Highway 109","Wildwood","MO","63040",38.5812,-90.6612,Free
"University City Heman Park","975 Pennsylvania Ave","University City","MO","63130",38.6689,-90.3289,Free
"Wentzville Heartland Park","100 William Dierberg Dr","Wentzville","MO","63385",38.8112,-90.8712,Free
"Ballwin Vlasis Park","300 Holloway Rd","Ballwin","MO","63011",38.5989,-90.5512,Free
"Liberty Stocksdale Park","901 S Lafrenz Rd","Liberty","MO","64068",39.2312,-94.4089,Free
"Raymore Recreation Park","1011 S Madison St","Raymore","MO","64083",38.7912,-94.4589,Free
