image,name,address,city,state,zip,lat,lng, type
Pickleball Charlotte - Sharon Lakes,8401 Sharon Lakes Rd,Charlotte,NC,28210,35.1215,-80.8745,Business
Pickleball Charlotte - Ballantyne,11611 Ardrey Kell Rd,Charlotte,NC,28277,35.0385,-80.8315,Business
The North State Pickleball Club,7830 Northfield Dr,Greensboro,NC,27409,36.0845,-79.9415,Business
Swing Racquet + Paddle,6121 Mount Herman Rd,Raleigh,NC,27617,35.9015,-78.7845,Business
Apex Pickleball Courts,"Apex Nature Park, 2600 Evans Rd",Apex,NC,27502,35.7145,-78.8915,Park
Freedom Park Pickleball Courts,1908 East Blvd,Charlotte,NC,28203,35.1985,-80.8415,Park
Clarks Creek Community Park,5435 Hucks Rd,Charlotte,NC,28269,35.3485,-80.8145,Park
Holbrook Park Courts,100 Ravencroft Dr,Huntersville,NC,28078,35.4125,-80.8645,Park
North Meck Park Courts,16131 Old Statesville Rd,Huntersville,NC,28078,35.4285,-80.8415,Park
Robbins Park Courts,17738 W Catawba Ave,Cornelius,NC,28031,35.4745,-80.8915,Park
Exchange Park Courts,Broad St,Mooresville,NC,28115,35.5845,-80.8145,Park
Method Road Community Park,514 Method Rd,Raleigh,NC,27607,35.7885,-78.6945,Park
North Hills Park Courts,100 Chapanoke Rd,Raleigh,NC,27609,35.8345,-78.6385,Park
Piney Wood Park Pickleball Complex,400 E Woodcroft Pkwy,Durham,NC,27713,35.9185,-78.9315,Park
Garrett Road Park,6815 Garrett Rd,Durham,NC,27707,35.9415,-78.9645,Park
Bethesda Park Courts,1814 S Miami Blvd,Durham,NC,27703,35.9545,-78.8485,Park
Southern Community Park,1000 Southern Village Dr,Chapel Hill,NC,27516,35.8845,-79.0615,Park
Ephesus Park Pickleball Courts,1495 Ephesus Church Rd,Chapel Hill,NC,27517,35.9385,-79.0145,Park
Bond Park Community Center Courts,801 High House Rd,Cary,NC,27513,35.7815,-78.8145,Park
Smith Creek Park Pickleball Complex,633 Easton Run Dr,Wilmington,NC,28405,34.2785,-77.8715,Park
Greenfield Lake Park Courts,1702 Burnett Blvd,Wilmington,NC,28401,34.2085,-77.9415,Park
Carolina Beach Rec Complex,1121 N Lake Park Blvd,Carolina Beach,NC,28428,34.0545,-77.8985,Park
Bur-Mil Park Pickleball Complex,5834 Bur-Mil Club Rd,Greensboro,NC,27410,36.1685,-79.8485,Park
Smith Senior Center Courts,2401 Fairview Dr,Greensboro,NC,27405,36.0945,-79.7615,Park
Shaver Recreation Complex,1419 W Mountain St,Kernersville,NC,27284,36.1285,-80.0885,Park
Joanie Moser Memorial Park,601 Lewisville Clemmons Rd,Lewisville,NC,27023,36.0945,-80.4145,Park
Miller Park Courts,400 Leisure Ln,Winston-Salem,NC,27103,36.0815,-80.2785,Park
Carrier Park Pickleball Courts,220 Amboy Rd,Asheville,NC,28806,35.5685,-82.5845,Park
Kenilworth Park Courts,79 Wyoming Rd,Asheville,NC,28803,35.5785,-82.5385,Park
Jackson Park Pickleball Complex,801 Glover St,Hendersonville,NC,28792,35.3185,-82.4415,Park
Sims Park Pickleball Courts,501 W 4th Ave,Gastonia,NC,28052,35.2585,-81.1945,Park
Village Park Courts,700 W C St,Kannapolis,NC,28081,35.4885,-80.6285,Park
Rocky River Crossing Courts,"Harrisburg, NC",Harrisburg,NC,28075,35.3215,-80.6545,Park
Deep River Recreation Center,1529 Skeet Club Rd,High Point,NC,27265,36.0315,-79.9785,Park
Oak Hollow Tennis & Pickleball Center,3401 N Centennial St,High Point,NC,27265,36.0085,-80.0085,Park
