image,name,address,city,state,zip,lat,lng, type
Courts Plus Community Fitness,3491 S University Dr,Fargo,ND,58104,46.83121,-96.79851,Business
picklr.png,The Picklr Fargo,4401 13th Ave S,Fargo,ND,58103,46.86121,-96.85851,Business
South Park Pickleball Courts,2100 8th St S,Fargo,ND,58103,46.85121,-96.79121,Park
Elephant Park,100 19th Ave N,Fargo,ND,58102,46.90451,-96.78451,Park
Brunsdale Park,1702 30th Ave S,Fargo,ND,58103,46.83851,-96.80451,Park
Lewis and Clark Park,1807 16th St S,Fargo,ND,58103,46.85451,-96.81121,Park
Rustad Recreation Center,601 26th Ave E,West Fargo,ND,58078,46.84451,-96.88121,Business
Elmwood Park,701 Elmwood Dr,West Fargo,ND,58078,46.87121,-96.90451,Park
Shadow Wood Park,3545 4th St E,West Fargo,ND,58078,46.83121,-96.87851,Park
Capital Racquet and Fitness Center,3200 N 10th St,Bismarck,ND,58503,46.83851,-100.78121,Business
Sertoma Park,300 Riverside Dr,Bismarck,ND,58504,46.79451,-100.80851,Park
Lions Park,214 W Boulevard Ave,Bismarck,ND,58501,46.81451,-100.78851,Park
Sonny Rohrich Park,1901 S Washington St,Bismarck,ND,58504,46.78851,-100.77851,Park
Municipal Ballpark Pickleball Courts,303 S Washington St,Bismarck,ND,58504,46.80121,-100.78121,Park
Mandan Tennis and Pickleball Center,1000 7th St SW,Mandan,ND,58554,46.82121,-100.91121,Park
All Seasons Arena,901 S 7th St,Mandan,ND,58554,46.81851,-100.90851,Business
Choice Health and Fitness,4401 S 42nd St,Grand Forks,ND,58201,47.88451,-97.09851,Business
University Park,320 N 25th St,Grand Forks,ND,58203,47.92451,-97.06851,Park
Lincoln Drive Park,1205 Lincoln Dr,Grand Forks,ND,58201,47.91451,-97.03121,Park
Bringewatt Park,2300 24th Ave S,Grand Forks,ND,58201,47.90451,-97.06121,Park
Hammond Park,4th Ave NE and 2nd St NE,Minot,ND,58703,48.24121,-101.28851,Park
Minot Family YMCA,3515 16th St SW,Minot,ND,58701,48.20451,-101.32121,Business
Roosevelt Park,1219 Burdick Expy E,Minot,ND,58701,48.23451,-101.27451,Park
Williston ARC,822 18th St E,Williston,ND,58801,48.16121,-103.61851,Business
Davidson Park,11th St W and 8th Ave W,Williston,ND,58801,48.15451,-103.63451,Park
West River Community Center,2004 Fairway St,Dickinson,ND,58601,46.89851,-102.80851,Business
Rocky Butte Park,6th St W and 5th Ave W,Dickinson,ND,58601,46.88121,-102.79851,Park
Two Rivers Activity Center,1501 5th Ave NE,Jamestown,ND,58401,46.92121,-98.69451,Business
Meidinger Park,10th St SE and 17th Ave SE,Jamestown,ND,58401,46.89851,-98.68121,Park
Chahinkapa Park,1901 4th St N,Wahpeton,ND,58075,46.27451,-96.60851,Park
