image,name,address,city,state,zip,lat,lng, type
Smash Park Omaha,138th & Giles Rd,La Vista,NE,68138,41.1685,-96.1285,Business
Miracle Hill Golf & Tennis / Pickleball,1401 N 120th St,Omaha,NE,68154,41.2715,-96.1015,Business
Genesis Health Clubs Westroads Pickleball,1212 N 102nd St,Omaha,NE,68114,41.2685,-96.0745,Business
Dewey Park Pickleball Complex,550 Turner Blvd,Omaha,NE,68105,41.2585,-95.9685,Park
Seymour Smith Park Courts,6802 Harrison St,Omaha,NE,68127,41.1815,-96.0185,Park
Roanoke Park Pickleball Courts,102nd & Fort St,Omaha,NE,68134,41.3115,-96.0715,Park
Standing Bear Lake Courts,6404 N 132nd St,Omaha,NE,68164,41.3215,-96.1215,Park
Trendwood Park Courts,132nd & Pacific St,Omaha,NE,68154,41.2485,-96.1215,Park
Westwood Heights Park,124th & Center St,Omaha,NE,68144,41.2315,-96.1085,Park
Zorinsky Lake Park Courts,3808 S 156th St,Omaha,NE,68130,41.2215,-96.1615,Park
Chalco Hills Recreation Area Courts,8901 S 154th St,Omaha,NE,68138,41.1615,-96.1545,Park
Halleck Park Pickleball Complex,E 5th St,Papillion,NE,68046,41.1545,-96.0385,Park
Prairie Queen Recreation Area,132nd & Cornhusker Rd,Papillion,NE,68046,41.1615,-96.1215,Park
Haworth Park Courts,Payne Dr,Bellevue,NE,68005,41.1385,-95.8845,Park
Peterson Park Pickleball Complex,4400 Southwood Dr,Lincoln,NE,68512,40.7645,-96.7215,Park
Cooper Park Courts,6th & D St,Lincoln,NE,68502,40.8045,-96.7115,Park
Woods Park Tennis & Pickleball Center,33rd & J St,Lincoln,NE,68510,40.8115,-96.6715,Park
Tierra Briarhurst Park Courts,27th & Tierra Dr,Lincoln,NE,68512,40.7515,-96.6845,Park
Roberts Park Courts,56th & Sumner St,Lincoln,NE,68506,40.7985,-96.6385,Park
Ballard Park Courts,66th & Ballard Ave,Lincoln,NE,68507,40.8385,-96.6215,Park
Ryder Park Pickleball Courts,N Custer Ave,Grand Island,NE,68803,40.9285,-98.3685,Park
Stolley Park Courts,Stolley Park Rd,Grand Island,NE,68801,40.9085,-98.3485,Park
Harmon Park Pickleball Courts,3100 5th Ave,Kearney,NE,68845,40.7045,-99.0885,Park
Harvey Park Courts,42nd St,Kearney,NE,68847,40.7245,-99.0815,Park
Clemmons Park Courts,16th & Broad St,Fremont,NE,68025,41.4445,-96.4985,Park
Ta-Ha-Zouka Park Courts,S 13th St,Norfolk,NE,68701,42.0115,-97.4185,Park
Riverside Park Courts,W 19th St,Scottsbluff,NE,69361,41.8615,-103.6785,Park
Cody Park Courts,N Jefferson St,North Platte,NE,69101,41.1515,-100.7585,Park
Chautauqua Park Courts,Park Rd,Beatrice,NE,68310,40.2585,-96.7485,Park
Heritage Park Courts,S 4th Ave,Hastings,NE,68901,40.5785,-98.3885,Park
