image,name,address,city,state,zip,lat,lng, type
NH Sportsplex Pickleball Center,68 Technology Dr,Bedford,NH,03110,42.9285,-71.5115,Business
The Hampshire Club Pickleball,50 Emerson Rd,Milford,NH,03055,42.8285,-71.6545,Business
Executive Health & Sports Center,1 Highlander Way,Manchester,NH,03103,42.9315,-71.4415,Business
Derryfield Park Pickleball Courts,Bridge St,Manchester,NH,03104,43.0015,-71.4385,Park
Rock Rimmon Park Courts,Mason St,Manchester,NH,03102,43.0085,-71.4785,Park
South Willow Courts,S Willow St,Manchester,NH,03103,42.9645,-71.4445,Park
Greeley Park Pickleball Courts,100 Concord St,Nashua,NH,03064,42.7785,-71.4645,Park
Labine Park Courts,Cleveland St,Nashua,NH,03060,42.7485,-71.4715,Park
Roby Park Courts,Spit Brook Rd,Nashua,NH,03062,42.7145,-71.4485,Park
Concord Rollins Park Courts,33 Bow St,Concord,NH,03301,43.1845,-71.5345,Park
Memorial Field Concord,S Fruit St,Concord,NH,03301,43.1915,-71.5515,Park
White Park Courts,1 White St,Concord,NH,03301,43.2085,-71.5485,Park
South Mill Pond Pickleball Courts,Junkins Ave,Portsmouth,NH,03801,43.0715,-70.7545,Park
Campus Drive Courts,Campus Dr,Portsmouth,NH,03801,43.0585,-70.7815,Park
Henry Law Park Courts,Henry Law Ave,Dover,NH,03820,43.1945,-70.8715,Park
Guppey Park Pickleball Complex,Portland Ave,Dover,NH,03820,43.2045,-70.8585,Park
Robin Hood Park Courts,Roxbury St,Keene,NH,03431,42.9345,-72.2685,Park
Wheelock Park Pickleball Complex,Park Ave,Keene,NH,03431,42.9415,-72.2985,Park
Don Ball Park Courts,Humphrey Rd,Derry,NH,03038,42.8985,-71.3085,Park
Hood Park Courts,Rollins St,Derry,NH,03038,42.8885,-71.3285,Park
Griffin Park Courts,Range Rd,Windham,NH,03087,42.8185,-71.3045,Park
Michele Park Courts,"Auburn, NH",Auburn,NH,03032,43.0045,-71.3485,Park
Rochester Community Center Courts,150 Wakefield St,Rochester,NH,03867,43.3085,-70.9715,Park
Opechee Park Courts,N Main St,Laconia,NH,03246,43.5385,-71.4745,Park
Livingston Park Courts,Hooksett Rd,Manchester,NH,03104,43.0245,-71.4515,Park
