image,name,address,city,state,zip,lat,lng, type,cam
Pickleball Oasis,911 4 Hills Rd SE,Albuquerque,NM,87123,35.12868,-106.57913,Business,https://livepickleballcourts.com/facilities/pickleball-oasis
Highbury Tennis & Pickleball Club,7801 Academy Rd NE,Albuquerque,NM,87109,35.1485,-106.5585,Business
Manzano Mesa Pickleball Complex,501 Elizabeth St SE,Albuquerque,NM,87123,35.0645,-106.5285,Park
Cesar Chavez Community Center Courts,7505 Kathryn Ave SE,Albuquerque,NM,87108,35.0685,-106.5645,Park
Ventana Ranch Park Courts,10000 Universe Blvd NW,Albuquerque,NM,87114,35.1845,-106.7285,Park
Arroyo Del Oso Park Courts,7001 Osuna Rd NE,Albuquerque,NM,87109,35.1385,-106.5715,Park
Jerry Cline Tennis & Pickleball Center,7001 Constitution Ave NE,Albuquerque,NM,87110,35.0945,-106.5715,Park
Los Altos Park Pickleball Courts,10141 Lomas Blvd NE,Albuquerque,NM,87112,35.0885,-106.5385,Park
Alamosa Community Center Courts,6900 Gonzales Rd SW,Albuquerque,NM,87121,35.0685,-106.7115,Park
North Domingo Baca Park,7521 Carmel Ave NE,Albuquerque,NM,87113,35.1785,-106.5645,Park
Paradise Hills Community Center Courts,5901 Paradise Blvd NW,Albuquerque,NM,87114,35.1985,-106.6985,Park
A Park Above Pickleball Complex,2441 Westside Blvd SE,Rio Rancho,NM,87124,35.2415,-106.6845,Park
Star Heights Park Courts,3302 Polaris Blvd SE,Rio Rancho,NM,87124,35.2615,-106.6615,Park
Fort Marcy Recreation Complex Courts,490 Washington Ave,Santa Fe,NM,87501,35.6915,-105.9315,Park
Salvador Perez Park Courts,601 Cruz Alta Rd,Santa Fe,NM,87505,35.6715,-105.9545,Park
Herb Martinez Park,2240 Camino Carlos Rey,Santa Fe,NM,87507,35.6515,-105.9815,Park
Ragle Park Pickleball Courts,W Zia Rd,Santa Fe,NM,87505,35.6415,-105.9685,Park
Apodaca Park Pickleball Complex,801 E Madrid Ave,Las Cruces,NM,88001,32.3285,-106.7715,Park
Lions Park Las Cruces,701 W Picacho Ave,Las Cruces,NM,88005,32.3145,-106.7915,Park
Hadley Sports Complex Courts,1600 E Hadley Ave,Las Cruces,NM,88001,32.3215,-106.7645,Park
Cahoon Park Pickleball Courts,W 11th St,Roswell,NM,88201,33.4045,-104.5385,Park
Martin Luther King Jr. Complex Courts,"Hobbs, NM",Hobbs,NM,88240,32.7085,-103.1415,Park
Farmington Recreation Center Courts,1101 Fairgrounds Rd,Farmington,NM,87401,36.7585,-108.1885,Park
Brookside Park Courts,1801 Brookside Dr,Farmington,NM,87401,36.7445,-108.2045,Park
White Rock Activity Center Courts,133 Longview Dr,Los Alamos,NM,87547,35.8215,-106.2185,Park
Overlook Park Courts,Overlook Rd,White Rock,NM,87547,35.8315,-106.1985,Park
Taos Youth & Family Center Courts,407 Paseo Del Canon E,Taos,NM,87571,36.3885,-105.5845,Park
Fred Baca Park Courts,Los Pandos Rd,Taos,NM,87571,36.4015,-105.5885,Park
Alameda Park Courts,10th St,Alamogordo,NM,88310,32.8985,-105.9585,Park
Chaparral Park Courts,W 18th St,Clovis,NM,88101,34.4215,-103.2285,Park
