image,name,address,city,state,zip,lat,lng, type
Sunset Park Pickleball Complex,2601 E Sunset Rd,Las Vegas,NV,89120,36.06851,-115.11451,Park
Plaza Hotel Pickleball Complex,1 S Main St,Las Vegas,NV,89101,36.17121,-115.14651,Business
cnp.png,Chicken N Pickle Henderson,3388 St Rose Pkwy,Henderson,NV,89052,35.98851,-115.17851,Business
picklr.png,The Picklr Henderson,1450 W Horizon Ridge Pkwy,Henderson,NV,89012,36.01121,-115.05451,Business
pk.png,Pickleball Kingdom Henderson,1301 American Pacific Dr,Henderson,NV,89074,36.03851,-115.04851,Business
Life Time Summerlin,10721 W Charleston Blvd,Las Vegas,NV,89135,36.15851,-115.32851,Business
Life Time Green Valley,121 Humble Dr,Henderson,NV,89014,36.04451,-115.08451,Business
Lone Mountain Regional Park,4445 N Jensen St,Las Vegas,NV,89129,36.24121,-115.30851,Park
Durango Hills Park,3548 N Durango Dr,Las Vegas,NV,89129,36.22451,-115.27851,Park
Aloha Shores Park,7549 W Alexander Rd,Las Vegas,NV,89129,36.23121,-115.26121,Park
Wayne Bunker Family Park,7351 W Alexander Rd,Las Vegas,NV,89129,36.23121,-115.25451,Park
Oak Leaf Park,6401 S Fort Apache Rd,Las Vegas,NV,89148,36.07121,-115.29851,Park
Cougar Creek Park,6635 W Cougar Ave,Las Vegas,NV,89139,36.04851,-115.23851,Park
Desert Bloom Park,8405 S Maryland Pkwy,Las Vegas,NV,89123,36.03451,-115.13851,Park
Lorenzi Park,3333 W Washington Ave,Las Vegas,NV,89107,36.18121,-115.18451,Park
Bill Briare Park,650 N Tenaya Way,Las Vegas,NV,89128,36.17851,-115.25121,Park
All American Park,1551 S Buffalo Dr,Las Vegas,NV,89117,36.15451,-115.26121,Park
Whitney Mesa Recreation Area,1575 Galleria Dr,Henderson,NV,89014,36.06851,-115.06851,Park
Warm Springs Park,300 E Warm Springs Rd,Henderson,NV,89014,36.05851,-115.03451,Park
Black Mountain Recreation Center,599 Greenway Rd,Henderson,NV,89015,36.01851,-114.96851,Business
Heritage Park,350 S Racetrack Rd,Henderson,NV,89015,36.01451,-114.94851,Park
Mission Hills Park,551 E Mission Dr,Henderson,NV,89002,35.98451,-114.96121,Park
Arroyo Grande Sports Complex,298 N Arroyo Grande Blvd,Henderson,NV,89014,36.04451,-115.04851,Park
Pecos Legacy Park,150 N Pecos Rd,Henderson,NV,89074,36.04121,-115.09851,Park
Silver Springs Recreation Center,1951 Silver Springs Pkwy,Henderson,NV,89074,36.04851,-115.08851,Business
Aliante Nature Discovery Park,2627 Nature Park Dr,North Las Vegas,NV,89084,36.28451,-115.18121,Park
Craig Ranch Regional Park,628 W Craig Rd,North Las Vegas,NV,89032,36.24121,-115.15121,Park
Nicholas E Flores Jr Park,4133 Thomas Ave,North Las Vegas,NV,89032,36.23451,-115.13851,Park
Skyview Multigenerational Center,3050 E Centennial Pkwy,North Las Vegas,NV,89081,36.27851,-115.10851,Business
ABC Park Pickleball Courts,801 Adams Blvd,Boulder City,NV,89005,35.97451,-114.83851,Park
Broadbent Park,1301 5th St,Boulder City,NV,89005,35.97851,-114.83121,Park
Mesquite Recreation Center,100 W Old Mill Rd,Mesquite,NV,89027,36.80851,-114.07121,Business
Woodbury Park,150 N Meadowland Way,Mesquite,NV,89027,36.81451,-114.06851,Park
Hafen Park,450 Hafen Ln,Mesquite,NV,89027,36.79851,-114.08121,Park
Ian Deutch Memorial Park,1600 E Honeysuckle St,Pahrump,NV,89048,36.19851,-115.96121,Park
Mountain Falls Golf Club,5001 Clubhouse Dr,Pahrump,NV,89061,36.16121,-115.89451,Business
Mountain View Park,1999 S Mt Charleston Dr,Pahrump,NV,89048,36.18451,-115.98121,Park
Laughlin Regional Park,1975 Arie Ave,Laughlin,NV,89029,35.15851,-114.58121,Park
Hidden Valley Regional Park,4770 Parkway Dr,Reno,NV,89502,39.49851,-119.72121,Park
Plumas Tennis and Pickleball Center,475 Monroe St,Reno,NV,89509,39.51121,-119.82451,Park
Cyan Park,2121 Long Meadow Dr,Reno,NV,89521,39.43451,-119.74121,Park
Reno Tennis Center,2601 Plumas St,Reno,NV,89509,39.49851,-119.82121,Business
Swift Sportsdome South,1465 S Meadows Pkwy,Reno,NV,89521,39.43851,-119.75451,Business
Maple Park,2855 Idlewild Dr,Reno,NV,89509,39.52121,-119.84121,Park
Dick Taylor Memorial Park,1100 Beech St,Reno,NV,89512,39.54451,-119.80851,Park
Shadow Mountain Sports Complex,3300 Sparks Blvd,Sparks,NV,89434,39.56851,-119.71121,Park
Golden Eagle Regional Park,6400 Vista Blvd,Sparks,NV,89436,39.61451,-119.69851,Park
Sparks Marina Park,300 Howard Dr,Sparks,NV,89434,39.53851,-119.72451,Park
Oppio Park,2355 18th St,Sparks,NV,89431,39.54851,-119.74451,Park
Governors Field Pickleball Complex,500 Eva Cir,Carson City,NV,89701,39.15121,-119.75451,Park
Mills Park,1111 E William St,Carson City,NV,89701,39.16851,-119.75121,Park
Maccabee Green Park,3700 N Carson St,Carson City,NV,89706,39.19121,-119.77121,Park
Incline Village Tennis and Pickleball,964 Incline Way,Incline Village,NV,89451,39.24851,-119.95451,Business
Zephyr Cove Park,1000 Warrior Way,Zephyr Cove,NV,89448,39.00451,-119.94851,Park
Kahle Community Center,236 Kingsbury Grade,Stateline,NV,89449,38.97451,-119.93851,Business
Elko City Park,1448 Idaho St,Elko,NV,89801,40.83851,-115.75121,Park
Main City Park,555 S Maine St,Fallon,NV,89406,39.46851,-118.77851,Park
Oats Park,161 E Park
