image,name,address,city,state,zip,lat,lng, type
Pickle and Chill,880 W Henderson Rd,Columbus,OH,43214,40.06121,-83.03121,Business
The Pickle Lodge,7566 Voice of America Centre Dr,West Chester,OH,45069,39.36451,-84.36451,Business
Sawyer Point Pickleball Complex,705 E Pete Rose Way,Cincinnati,OH,45202,39.10121,-84.49851,Park, https://www.pbatsp.com/webcam
Mentor Civic Center Park,8600 Munson Rd,Mentor,OH,44060,41.67451,-81.33451,Park
Olympic Indoor Tennis and Pickleball,3480 Indianola Ave,Columbus,OH,43214,40.03851,-83.00121,Business
picklr.png,The Picklr Dublin,6545 Perimeter Dr,Dublin,OH,43016,40.09851,-83.15451,Business
picklr.png,The Picklr Loveland,10681 Loveland Madeira Rd,Loveland,OH,45140,39.26121,-84.27851,Business
ace.png,Ace Pickleball Club Columbus,620 Polaris Pkwy,Westerville,OH,43082,40.15121,-82.95121,Business
ace.png,Ace Pickleball Club Cincinnati,8114 Montgomery Rd,Cincinnati,OH,45236,39.20451,-84.36851,Business
lta.png,Life Time Dublin,3825 Hard Rd,Dublin,OH,43016,40.11451,-83.10851,Business
lta.png,Life Time Easton,3900 Easton Station,Columbus,OH,43219,40.05121,-82.91851,Business
lta.png,Life Time Mason,8310 Wilkens Blvd,Mason,OH,45040,39.31451,-84.31851,Business
lta.png,Life Time Beachwood,3850 Richmond Rd,Beachwood,OH,44122,41.46451,-81.49851,Business
Thompson Park Pickleball Complex,4250 Woodbridge Rd,Upper Arlington,OH,43220,40.04451,-83.08451,Park
Fancyburg Park,3375 Kioka Ave,Upper Arlington,OH,43221,40.02451,-83.07851,Park
Westerville Sports Complex,325 N Cleveland Ave,Westerville,OH,43082,40.13851,-82.93451,Park
Avery Park,7401 Avery Rd,Dublin,OH,43017,40.11851,-83.16121,Park
Coffman Park,5200 Emerald Pkwy,Dublin,OH,43017,40.10451,-83.12451,Park
Alum Creek Park North,221 W Main St,Westerville,OH,43081,40.12851,-82.93851,Park
Hoff Woods Park,556 McCorkle Blvd,Westerville,OH,43082,40.14451,-82.90851,Park
Schiller Park,1069 Jaeger St,Columbus,OH,43206,39.94451,-82.99121,Park
Whetstone Park of Roses,3923 N High St,Columbus,OH,43214,40.04451,-83.02451,Park
Hilliard Municipal Park,3800 Veterans Memorial Dr,Hilliard,OH,43026,40.02451,-83.15851,Park
Pickerington Central Park,196 S Center St,Pickerington,OH,43147,39.88451,-82.75451,Park
Reynoldsburg Civic Park,6800 Daugherty Dr,Reynoldsburg,OH,43068,39.96121,-82.80851,Park
Gahanna Academy Park,1201 Cherry Bottom Rd,Gahanna,OH,43230,40.03851,-82.89451,Park
Fifty West Brewing Pickleball,7605 Wooster Pike,Cincinnati,OH,45227,39.14121,-84.35451,Business
Clear Creek Park,6200 State Rte 32,Cincinnati,OH,45244,39.09851,-84.34121,Park
Blue Ash Sports Center,11540 Grooms Rd,Blue Ash,OH,45242,39.26851,-84.36451,Park
Heritage Park,11405 E Miami River Rd,Cincinnati,OH,45252,39.28451,-84.67121,Park
Cottell Park,5847 Irwin Simpson Rd,Mason,OH,45040,39.32451,-84.33851,Park
Joyce Park,150 Joe Nuxhall Way,Hamilton,OH,45015,39.37851,-84.56121,Park
Voice of America MetroPark,7850 VOA Park Dr,West Chester,OH,45069,39.36121,-84.34851,Park
Armco Park,1223 N State Rte 741,Lebanon,OH,45036,39.46851,-84.28121,Park
Kettering Recreation Complex,2900 Glengarry Dr,Kettering,OH,45420,39.69121,-84.12451,Business
Thomas A Cloud Park,4707 Brandt Pike,Dayton,OH,45424,39.81851,-84.12851,Park
Delco Park,1700 Delco Park Dr,Kettering,OH,45420,39.70451,-84.14451,Park
Stubbs Park,255 W Spring Valley Rd,Centerville,OH,45458,39.62451,-84.16451,Park
Activity Center Park,221 N Main St,Centerville,OH,45459,39.63851,-84.15851,Park
Springboro Sports Complex,300 W Central Ave,Springboro,OH,45066,39.55851,-84.24121,Park
Cleveland Pickleball Club,1361 E 55th St,Cleveland,OH,44103,41.51851,-81.65121,Business
Tri-City Park,28590 Westwood Rd,Westlake,OH,44145,41.46451,-81.93851,Park
Memorial Park Lakewood,14532 Lake Ave,Lakewood,OH,44107,41.49121,-81.79451,Park
Osborne Park,38575 Lakeshore Blvd,Willoughby,OH,44094,41.67121,-81.41121,Park
Solon Community Park,6679 SOM Center Rd,Solon,OH,44139,41.38851,-81.44121,Park
Hudson Springs Park,7095 Stow Rd,Hudson,OH,44236,41.22851,-81.40851,Park
Water Works Park,2025 Munroe Falls Ave,Cuyahoga Falls,OH,44221,41.14451,-81.46851,Park
Davenport Park,1081 Ellet Ave,Akron,OH,44312,41.06121,-81.44451,Park
Weis Park,2600 Harvard Ave NW,Canton,OH,44709,40.82451,-81.38851,Park
Stadium Park,12th St NW,Canton,OH,44708,40.80851,-81.39451,Park
Medina Recreation Center,855 Weymouth Rd,Medina,OH,44256,41.14121,-81.85451,Park
Jermain Park Pickleball Courts,1720 Upton Ave,Toledo,OH,43606,41.67451,-83.59451,Park
Rolf Park,2115 Cass Rd,Maumee,OH,43537,41.56451,-83.65851,Park
Woodlands Park,429 E Boundary St,Perrysburg,OH,43551,41.54851,-83.61851,Park
Rotary Park,1001 Fort Findlay Dr,Findlay,OH,45840,41.02451,-83.63451,Park
North Park,400 S Main St,Mansfield,OH,44902,40.75121,-82.51851,Park
Boardman Park,375 Boardman-Poland Rd,Boardman,OH,44512,41.02451,-80.64851,Park
Austintown Township Park,6000 Kirk Rd,Austintown,OH,44515,41.07451,-80.75851,Park
Collett Street Park,100 S Collett St,Lima,OH,45805,40.74121,-84.11851,Park
Ankeney Recreation Complex,1301 S Alpha-Bellbrook Rd,Beavercreek,OH,45434,39.69121,-84.05451,Park
Blacklick Woods Metro Park,6975 E Livingston Ave,Reynoldsburg,OH,43068,39.93851,-82.80851,Park
Blendon Woods Metro Park,4265 E Dublin Granville Rd,Columbus,OH,43230,40.08121,-82.88121,Park
Scioto Audubon Metro Park,400 W Whittier St,Columbus,OH,43215,39.94851,-83.00851,Park
Sharon Woods Metro Park,6911 Cleveland Ave,Westerville,OH,43081,40.11851,-82.93851,Park
Highbanks Metro Park,9466 Columbus Pike,Lewis Center,OH,43035,40.15121,-83.02851,Park
Pickaway County Family YMCA,440 Nicholas Dr,Circleville,OH,43113,39.60851,-82.94851,Business
Marysville Family YMCA,1150 Charles Ln,Marysville,OH,43040,40.23121,-83.35121,Business
Eljer Park,401 E 9th St,Marysville,OH,43040,40.22851,-83.35851,Park
Lewis Center Park,5993 Powell Rd,Lewis Center,OH,43035,40.19851,-83.01851,Park
Village Green Park,47 Hall St,Powell,OH,43065,40.15851,-83.07451,Park
Liberty Park,2845 Home Rd,Powell,OH,43065,40.17851,-83.07121,Park
Gantz Park,2255 Gantz Rd,Grove City,OH,43123,39.88851,-83.06121,Park
Windsor Park,4330 Dudley Ave,Grove City,OH,43123,39.88121,-83.07851,Park
Pinnacle Golf Club,1900 Pinnacle Club Dr,Grove City,OH,43123,39.86451,-83.06451,Business
Worthingway Park,6665 Worthington-Galena Rd,Worthington,OH,43085,40.10451,-83.00851,Park
McCord Park,345 E Wilson Bridge Rd,Worthington,OH,43085,40.11121,-83.00451,Park
