image,name,address,city,state,zip,lat,lng, type,cam
Bend Pickleball Club,3750 NE Purcell Blvd,Bend,OR,97702,44.09127,-121.27339,Business,https://livepickleballcourts.com/facilities/bend-pickleball-club
The People's Courts,2700 NE 82nd Ave,Portland,OR,97220,45.5415,-122.5785,Business
RECS Pickleball & Social,17015 SW 72nd Ave,Tualatin,OR,97224,45.3985,-122.7515,Business
Sellwood Park Pickleball Courts,SE 7th Ave & Miller St,Portland,OR,97202,45.4715,-122.6545,Park
Columbia Park Pickleball Complex,7701 N Chautauqua Blvd,Portland,OR,97217,45.5815,-122.7045,Park
Mt. Tabor Park Courts,SE 60th Ave & Salmon St,Portland,OR,97215,45.5115,-122.5985,Park
Gabriel Park Courts,SW 45th Ave & Vermont St,Portland,OR,97219,45.4785,-122.7185,Park
Hamilton Park Courts,SW 45th Ave & Hamilton St,Portland,OR,97221,45.4985,-122.7185,Park
Grant Park Courts,NE 33rd Ave & US Grant Pl,Portland,OR,97212,45.5385,-122.6315,Park
Camille Park Pickleball Courts,SW Marjorie Ln,Beaverton,OR,97008,45.4545,-122.8085,Park
Raleigh Park Courts,3500 SW 78th Ave,Portland,OR,97225,45.4945,-122.7585,Park
Cedar Hills Park Courts,2300 SW Cedar Hills Blvd,Beaverton,OR,97005,45.5015,-122.8045,Park
Shute Park Courts,750 SE 8th Ave,Hillsboro,OR,97123,45.5145,-122.9785,Park
53rd Avenue Community Park,300 NE 53rd Ave,Hillsboro,OR,97124,45.5345,-122.9385,Park
Summerlake Park Courts,11450 SW Winterlake Dr,Tigard,OR,97223,45.4385,-122.8015,Park
Cook Park Pickleball Courts,17005 SW 92nd Ave,Tigard,OR,97224,45.3945,-122.7715,Park
Ibach Park Courts,10455 SW Ibach St,Tualatin,OR,97224,45.3785,-122.7845,Park
George Rogers Park,611 S State St,Lake Oswego,OR,97034,45.4115,-122.6615,Park
Highland Park Courts,Highland Dr,Oregon City,OR,97045,45.3445,-122.5845,Park
Woodmansee Park Pickleball Complex,4629 Sunnyside Rd SE,Salem,OR,97302,44.8915,-123.0315,Park
Highland Park Salem,Broadway St NE,Salem,OR,97301,44.9585,-123.0285,Park
Bush's Pasture Park Courts,Mission St SE,Salem,OR,97302,44.9315,-123.0385,Park
Meadow Park Pickleball Courts,851 5th St,Springfield,OR,97477,44.0515,-123.0245,Park
Westmoreland Park Courts,2100 W 22nd Ave,Eugene,OR,97405,44.0385,-123.1285,Park
Amazon Park Pickleball Courts,Amazon Pkwy & E 24th Ave,Eugene,OR,97405,44.0345,-123.0845,Park
Pine Nursery Park Pickleball Complex,3750 NE Purcell Blvd,Bend,OR,97701,44.0885,-121.2685,Park
Quarry Park Courts,Quarry Ave,Bend,OR,97701,44.0685,-121.3215,Park
Fichtner-Mainwaring Park Courts,334 Holmes Ave,Medford,OR,97501,42.3115,-122.8685,Park
Lithia Park Courts,Winburn Way,Ashland,OR,97520,42.1885,-122.7145,Park
Sunset Park Courts,"Corvallis, OR",Corvallis,OR,97333,44.5445,-123.2785,Park
