image,name,address,city,state,zip,lat,lng, type,cam
Litchfield Pickleball,97 Hawthorn Dr,Pawleys Island,SC,29585,33.4729,-79.1083,Business,https://livepickleballcourts.com/facilities/litchfield-pickleball
Crush Yard Pickleball Club & Restaurant,3351 Bessemer Rd,Mount Pleasant,SC,29466,32.8645,-79.7945,Business
The Pickle Bar,162 Harrell Dr,Summerville,SC,29483,33.0285,-80.1785,Business
Palmetto Dunes Tennis & Pickleball Center,4 Trent Jones Ln,Hilton Head Island,SC,29928,32.1815,-80.7285,Business
South Beach Racquet Club,232 S Sea Pines Dr,Hilton Head Island,SC,29928,32.1285,-80.8145,Business
Shipyard Racquet Club,116 Shipyard Dr,Hilton Head Island,SC,29928,32.1515,-80.7515,Business
Van Der Meer Tennis & Pickleball,19 Deallyon Ave,Hilton Head Island,SC,29928,32.1445,-80.7615,Business
Charleston Tennis & Pickleball Center,19 Farmfield Ave,Charleston,SC,29407,32.7785,-79.9885,Park
Maybank Tennis & Pickleball Center,1926 Maybank Hwy,Charleston,SC,29412,32.7585,-79.9815,Park
Park West Recreation Complex,1251 Park West Blvd,Mount Pleasant,SC,29466,32.8845,-79.7985,Park
Roy Anderson Recreation Center,501 Roy Anderson Pkwy,Mount Pleasant,SC,29464,32.8215,-79.8715,Park
Collins Park Courts,4155 Fell Ave,North Charleston,SC,29405,32.8715,-79.9915,Park
Doty Park Pickleball Courts,320 N Laurel St,Summerville,SC,29483,33.0215,-80.1745,Park
Midland Park Courts,2229 Midland Park Rd,North Charleston,SC,29406,32.9345,-80.0385,Park
North Lake Park Courts,1175 Riverland Dr,James Island,SC,29412,32.7315,-79.9685,Park
Midway Park Pickleball Complex,500 19th Ave S,Myrtle Beach,SC,29577,33.6785,-78.9085,Park
Central Park Courts,1400 Outrigger Rd,Myrtle Beach,SC,29577,33.7085,-78.8785,Park
J. Bryan Floyd Community Center,1030 Possum Trot Rd,North Myrtle Beach,SC,29582,33.8215,-78.6885,Park
North Myrtle Beach Sports Complex,150 Citizens Cir,Little River,SC,29582,33.8445,-78.6815,Park
Socastee Recreation Park,7485 Butler Rd,Myrtle Beach,SC,29588,33.6845,-79.0045,Park
Southeast Park Pickleball Courts,951 Hazelwood Rd,Columbia,SC,29209,33.9785,-80.9315,Park
Owens Field Park,1351 Jim Hamilton Blvd,Columbia,SC,29205,33.9745,-81.0085,Park
Earlewood Park Courts,1113 Recreation Dr,Columbia,SC,29201,34.0245,-81.0485,Park
Seven Oaks Park Courts,200 Leisure Ln,Columbia,SC,29210,34.0545,-81.1385,Park
Crooked Creek Park,1048 Park Creek Dr,Chapin,SC,29036,34.1615,-81.3385,Park
Lexington County Tennis & Pickleball,425 Oak Dr,Lexington,SC,29073,33.9845,-81.2385,Park
Timmons Park Pickleball Courts,121 Oxford St,Greenville,SC,29607,34.8615,-82.3685,Park
North Main Athletic Complex,1078 E Butler Rd,Greenville,SC,29607,34.8085,-82.3115,Park
Gower Estates Park,24 Evelyn Ave,Greenville,SC,29607,34.8315,-82.3515,Park
Century Park Courts,3605 Brushy Creek Rd,Greer,SC,29650,34.9245,-82.2585,Park
Tyger River Park Courts,179 Dillard Rd,Duncan,SC,29334,34.8985,-82.0785,Park
Cleveland Park Spartanburg,141 N Cleveland Park Dr,Spartanburg,SC,29303,34.9615,-81.9345,Park
Southside Park Courts,417 S Church St,Spartanburg,SC,29306,34.9385,-81.9285,Park
Cherry Park Courts,1466 Cherry Rd,Rock Hill,SC,29732,34.9615,-81.0185,Park
Manchester Meadows Park,337 Mt Gallant Rd,Rock Hill,SC,29730,34.9815,-80.9985,Park
James Island County Park Courts,871 Riverland Dr,Charleston,SC,29412,32.7385,-79.9915,Park
Johns Island County Park Courts,2662 Mullet Hall Rd,Johns Island,SC,29455,32.6845,-80.1285,Park
Moultrie Middle School Courts,645 Coleman Blvd,Mount Pleasant,SC,29464,32.7985,-79.8785,Park
Wando High School Community Courts,1000 Warrior Way,Mount Pleasant,SC,29466,32.8685,-79.7915,Park
Daniel Island Recreation Center,160 Fairbanks Dr,Charleston,SC,29492,32.8615,-79.9185,Park
Governor's Park Daniel Island,165 Seven Farms Dr,Charleston,SC,29492,32.8645,-79.9085,Park
Hanahan Recreation Complex,3100 Mabeline Rd,Hanahan,SC,29410,32.9185,-80.0085,Park
Goose Creek Community Center Courts,519 N Goose Creek Blvd,Goose Creek,SC,29445,32.9915,-80.0385,Park
Central Creek Park Courts,147 Old Moncks Corner Rd,Goose Creek,SC,29445,33.0015,-80.0345,Park
Moncks Corner Regional Recreation Complex,418 E Main St,Moncks Corner,SC,29461,33.1985,-79.9985,Park
St. Andrews Parks & Playground,1095 Playground Rd,Charleston,SC,29407,32.7915,-80.0045,Park
Ackerman Park Courts,55 Sycamore Ave,Charleston,SC,29407,32.7845,-80.0015,Park
Bees Landing Recreation Center,1580 Ashley Garden Blvd,Charleston,SC,29414,32.8185,-80.0845,Park
Wescott Park Courts,9006 Dorchester Rd,North Charleston,SC,29420,32.9545,-80.1285,Park
Azalea Park Summerville,105 S Main St,Summerville,SC,29483,33.0185,-80.1785,Park
Gahagan Park Courts,515 W Boundary St,Summerville,SC,29485,33.0115,-80.1985,Park
Grand Park Recreation Complex,1011 Crabtree Ln,Myrtle Beach,SC,29577,33.6615,-78.9415,Park
Matt Hughes Skate & Pickleball Park,10th Ave N,Myrtle Beach,SC,29577,33.6985,-78.8815,Park
Pepper Geddings Recreation Center,3205 N Oak St,Myrtle Beach,SC,29577,33.7145,-78.8685,Park
Martin Field Courts,"Myrtle Beach, SC",Myrtle Beach,SC,29577,33.6845,-78.8985,Park
Surfside Beach Tennis & Pickleball,Martin Dr,Surfside Beach,SC,29575,33.6115,-78.9745,Park
South Strand Recreation Center,9650 Scipio Ln,Myrtle Beach,SC,29588,33.6285,-78.9985,Park
Carolina Forest Recreation Center,2254 Carolina Forest Blvd,Myrtle Beach,SC,29579,33.7545,-78.9485,Park
Conway Recreation Center Courts,1515 Mill Pond Rd,Conway,SC,29527,33.8345,-79.0685,Park
Georgetown County Parks & Rec Courts,83 Screven St,Georgetown,SC,29440,33.3645,-79.2885,Park
Murrells Inlet Community Center Courts,4460 Murrells Inlet Rd,Murrells Inlet,SC,29576,33.5515,-79.0485,Park
Barker Field Pickleball Courts,Mitchelville Rd,Hilton Head Island,SC,29926,32.2285,-80.6985,Park
Old Schoolhouse Park Courts,152 Squire Pope Rd,Hilton Head Island,SC,29926,32.2145,-80.7415,Park
Crossings Park Courts,4 Helmer Rd,Hilton Head Island,SC,29928,32.1645,-80.7585,Park
Bluffton Center Courts,Goethe Rd,Bluffton,SC,29910,32.2385,-80.8615,Park
Oscar Frazier Park Courts,77 Shults Rd,Bluffton,SC,29910,32.2415,-80.8545,Park
Buckwalter Recreation Center,905 Buckwalter Pkwy,Bluffton,SC,29910,32.2785,-80.8885,Park
Beaufort Tennis & Pickleball Courts,Boundary St,Beaufort,SC,29902,32.4385,-80.6885,Park
Burton Wells Recreation Center,1 Middleton Recreation Dr,Beaufort,SC,29906,32.4515,-80.7415,Park
Port Royal Tennis & Pickleball Courts,Richmond Ave,Port Royal,SC,29935,32.3785,-80.6915,Park
Trenholm Park Pickleball Complex,3900 Covenant Rd,Columbia,SC,29204,34.0285,-80.9615,Park
Heathwood Park Courts,800 Abelia Rd,Columbia,SC,29205,33.9985,-80.9985,Park
Melrose Park Courts,1500 Fairview Rd,Columbia,SC,29205,33.9885,-80.9915,Park
Woodland Park Courts,6500 Old Knight Pkwy,Columbia,SC,29209,33.9845,-80.9415,Park
St. Andrews Park Courts,920 Beatty Rd,Columbia,SC,29210,34.0415,-81.1185,Park
Friarsgate Park Courts,1712 Chadford Rd,Irmo,SC,29063,34.0945,-81.1885,Park
Saluda Shoals Park Courts,5605 Bush River Rd,Columbia,SC,29212,34.0685,-81.1445,Park
Virginia Hylton Park,111 Maiden Ln,Lexington,SC,29072,33.9815,-81.2315,Park
Cayce Tennis & Fitness Center Courts,1120 Fort Congaree Dr,Cayce,SC,29033,33.9485,-81.0445,Park
West Columbia Community Center Courts,754 B Ave,West Columbia,SC,29169,33.9945,-81.0685,Park
Palmetto Tennis & Pickleball Center,400 Theatre Dr,Sumter,SC,29150,33.9415,-80.3645,Park
Dillon Park Sumter,1305 Clara Louise Kellogg Dr,Sumter,SC,29153,33.9785,-80.3415,Park
H. Odell Weeks Activity Center Courts,1700 Whiskey Rd,Aiken,SC,29803,33.5285,-81.7185,Park
Citizens Park Pickleball Complex,1060 Banks Mill Rd,Aiken,SC,29803,33.5345,-81.6985,Park
