image,name,address,city,state,zip,lat,lng, type
Huether Family Match Pointe,3988 N Cliff Ave,Sioux Falls,SD,57104,43.58451,-96.71121,Business
Riverdale Park,2000 S Dunlap Ave,Sioux Falls,SD,57105,43.52851,-96.74851,Park
Greatlife Performance Center,5901 S Southeastern Ave,Sioux Falls,SD,57108,43.49851,-96.70121,Business
Sanford Sports Complex,2215 W Pentagon Pl,Sioux Falls,SD,57107,43.58851,-96.76451,Business
Laurel Oak Park,3401 E 49th St,Sioux Falls,SD,57103,43.50451,-96.68851,Park
Sertoma Park,4300 S Oxbow Ave,Sioux Falls,SD,57106,43.51121,-96.78851,Park
Tomar Park,100 W Twin Oaks Rd,Sioux Falls,SD,57105,43.51451,-96.73121,Park
Morningside Park,2500 S Bahnson Ave,Sioux Falls,SD,57103,43.52451,-96.68451,Park
Kuehn Park,2501 S Kuehn Park Rd,Sioux Falls,SD,57106,43.52121,-96.79451,Park
Spellerberg Park,2200 S Western Ave,Sioux Falls,SD,57105,43.52851,-96.74121,Park
Robbinsdale Park,631 E Oakland St,Rapid City,SD,57701,44.05851,-103.20851,Park
Sioux Park Pickleball Courts,515 West Blvd,Rapid City,SD,57701,44.07451,-103.24451,Park
Roosevelt Park Ice and Sports Arena,235 Waterloo St,Rapid City,SD,57701,44.08121,-103.21121,Business
Black Hills Tennis and Pickleball,775 Fountain Springs Dr,Rapid City,SD,57702,44.09451,-103.26851,Business
Spearfish Rec Center,122 Recreation Way,Spearfish,SD,57783,44.49451,-103.85451,Business
Spearfish City Park,22 S Canyon St,Spearfish,SD,57783,44.48851,-103.86121,Park
Sturgis City Park,599 Ball Park Rd,Sturgis,SD,57785,44.40851,-103.51121,Park
Lee Park Pickleball Courts,419 8th Ave NW,Aberdeen,SD,57401,45.47451,-98.49851,Park
Aberdeen Family YMCA,5 S State St,Aberdeen,SD,57401,45.46451,-98.48851,Business
Hillcrest Park,1500 6th St,Brookings,SD,57006,44.31121,-96.77451,Park
Miller Park,1111 2nd St,Brookings,SD,57006,44.31451,-96.78851,Park
Derby Park,1221 2nd St SE,Watertown,SD,57201,44.89451,-97.10121,Park
Watertown Family Aquatic and Rec Center,1900 W Kemp Ave,Watertown,SD,57201,44.89851,-97.13451,Business
Hitchcock Park,1000 E Hanson Ave,Mitchell,SD,57301,43.71451,-98.01851,Park
Steamboat Park,701 E Sioux Ave,Pierre,SD,57501,44.36451,-100.34451,Park
Griffin Park,1000 E Capitol Ave,Pierre,SD,57501,44.36851,-100.33451,Park
Memorial Park,2100 Douglas Ave,Yankton,SD,57078,42.88451,-97.39451,Park
Yankton Summit Activities Center,1801 Summit St,Yankton,SD,57078,42.89121,-97.41121,Business
