image,name,address,city,state,zip,lat,lng, type,cam
Pickleball Playground,2810 Ball Camp Byington Rd,Knoxville,TN,37931,35.96597,-84.11957,Business,https://livepickleballcourts.com/facilities/pickleball-playground
Pavilion Of Pickleball,685 Racquet Club Way,Knoxville,TN,37923,35.93206,-84.09162,Business,https://livepickleballcourts.com/facilities/pavilion-of-pickleball
E-Town Pickleball,175 Hudson Dr,Elizabethton,TN,37643,36.34463,-82.24353,Business,https://livepickleballcourts.com/facilities/e-town-pickleball
Pickleball 901,4610 Merchants Park Circle Ste 501,Collierville,TN,38017,35.02304,-89.71917,Business,https://livepickleballcourts.com/facilities/pickleball-901
Music City Pickleball,1314 Dickerson Pike,Nashville,TN,37207,36.1845,-86.7685,Business
Lipscomb Racquet & Pickleball Club,4109 Granny White Pike,Nashville,TN,37204,36.1185,-86.7985,Business
Centennial Sportsplex Pickleball,222 25th Ave N,Nashville,TN,37203,36.1515,-86.8115,Park
Richland Park Pickleball Courts,4601 Charlotte Ave,Nashville,TN,37209,36.1545,-86.8445,Park
Sevier Park Courts,3021 Lealand Ln,Nashville,TN,37204,36.1185,-86.7845,Park
Two Rivers Park Pickleball Complex,3150 McGavock Pike,Nashville,TN,37214,36.1885,-86.6845,Park
Cane Ridge Community Center Courts,6075 Battle Rd,Antioch,TN,37013,36.0285,-86.6485,Park
Brentwood Academy Courts,219 Granny White Pike,Brentwood,TN,37027,36.0245,-86.7885,Park
Granny White Park Pickleball Courts,610 Granny White Pike,Brentwood,TN,37027,36.0115,-86.8015,Park
Academy Park Pickleball Complex,120 Everbright Ave,Franklin,TN,37064,35.9215,-86.8745,Park
Jim Warren Park Pickleball Courts,705 Boyd Mill Ave,Franklin,TN,37064,35.9285,-86.8985,Park
Longview Recreation Complex,2909 Commonwealth Dr,Spring Hill,TN,37174,35.7685,-86.9145,Park
Memorial Park Pickleball Courts,128 W Main St,Hendersonville,TN,37075,36.3045,-86.6215,Park
Drakes Creek Park North,120 E Main St,Hendersonville,TN,37075,36.3115,-86.6145,Park
Triple Creek Park Courts,240 E Main St,Gallatin,TN,37066,36.3885,-86.4385,Park
Adams Tennis & Pickleball Complex,925 Golf Dr,Murfreesboro,TN,37129,35.8445,-86.3785,Park
Old Fort Park Courts,1024 Old Fort Pkwy,Murfreesboro,TN,37129,35.8515,-86.4185,Park
Sharp Springs Park,1000 Espey Dr,Smyrna,TN,37167,35.9915,-86.5385,Park
Leftwich Tennis & Pickleball Center,4145 Southern Ave,Memphis,TN,38117,35.1185,-89.9045,Park
Cameron Brown Park Pickleball Complex,8628 Farmington Blvd,Germantown,TN,38139,35.0885,-89.7785,Park
Bert Ferguson Community Center Courts,8505 Trinity Rd,Cordova,TN,38018,35.1585,-89.7685,Park
Hinton Park Pickleball Courts,10524 E Holmes Rd,Collierville,TN,38017,35.0185,-89.6745,Park
Inskip Park Pickleball Courts,4204 Bruhin Rd,Knoxville,TN,37912,36.0085,-83.9485,Park
West Hills Park Pickleball Complex,7624 Sheffield Dr,Knoxville,TN,37909,35.9385,-84.0485,Park
Victor Ashe Park Courts,4901 Bradshaw Rd,Knoxville,TN,37912,36.0145,-83.9885,Park
Chattanooga Racquet Club,100 Douglas St,Chattanooga,TN,37403,35.0515,-85.3045,Business
Rivermont Park Pickleball Complex,1096 Lupton Dr,Chattanooga,TN,37415,35.0945,-85.2785,Park
Standifer Gap Park Courts,8361 Standifer Gap Rd,Chattanooga,TN,37421,35.0785,-85.1545,Park
Heritage Park Courts,1428 Jenkins Rd,Chattanooga,TN,37421,35.0385,-85.1615,Park
Rotary Park Pickleball Courts,Rotary Park Dr,Clarksville,TN,37043,36.5085,-87.2785,Park
Swan Lake Tennis & Pickleball Complex,2002 Sanders Rd,Clarksville,TN,37043,36.5645,-87.3115,Park
Centennial Park Nashville Courts,2500 West End Ave,Nashville,TN,37203,36.1485,-86.8145,Park
Hadley Park Tennis & Pickleball Center,1037 28th Ave N,Nashville,TN,37208,36.1715,-86.8215,Park
Shelby Park Pickleball Courts,Shelby Ave & S 20th St,Nashville,TN,37206,36.1685,-86.7385,Park
Cleveland Park Courts,925 N 6th St,Nashville,TN,37207,36.1845,-86.7645,Park
McCabe Community Center Courts,101 46th Ave N,Nashville,TN,37209,36.1445,-86.8485,Park
West Park Community Center Courts,6105 Morrow Rd,Nashville,TN,37209,36.1615,-86.8685,Park
Bellevue Community Center Courts,7638A Hwy 70 S,Nashville,TN,37221,36.0745,-86.9385,Park
Green Hills Park Courts,1200 Lone Oak Rd,Nashville,TN,37215,36.0985,-86.8185,Park
Whitfield Park Courts,5001 Edmondson Pike,Nashville,TN,37211,36.0585,-86.7485,Park
Antioch Community Center Courts,5023 Blue Hole Rd,Antioch,TN,37013,36.0545,-86.6885,Park
Smith Park Brentwood Courts,1825 Wilson Pike,Brentwood,TN,37027,35.9785,-86.7645,Park
