image,name,address,city,state,zip,lat,lng, type
picklr.png,The Picklr Sterling,21605 Great Falls Plaza,Sterling,VA,20165,39.02851,-77.38451,Business
picklr.png,The Picklr Williamsburg,4635 Monticello Ave,Williamsburg,VA,23188,37.28121,-76.74851,Business
picklr.png,The Picklr Fredericksburg,1320 Carl D Silver Pkwy,Fredericksburg,VA,22401,38.30851,-77.50851,Business
Performance Pickleball RVA,8641 Quioccasin Rd,Henrico,VA,23229,37.59121,-77.56451,Business
Pickleball Virginia Beach,1950 Princess Anne Rd,Virginia Beach,VA,23456,36.75851,-76.04851,Business
Dill Dinkers Manassas,8150 Ashton Ave,Manassas,VA,20109,38.76851,-77.49851,Business
Dill Dinkers Lansdowne,19445 Deerfield Ave,Lansdowne,VA,20176,39.08851,-77.48121,Business
pk.png,Pickleball Kingdom Sterling,46100 Potomack Place,Sterling,VA,20165,39.03451,-77.40851,Business
The St James Sports Complex,6805 Industrial Rd,Springfield,VA,22151,38.79851,-77.16851,Business
Down The Line Pickleball Club,8401 Arlington Blvd,Fairfax,VA,22031,38.86851,-77.23451,Business
Village Green Racquet and Pickleball Club,1004 Willow Green Dr,Newport News,VA,23602,37.11451,-76.49851,Business
Walter Reed Community Center Pickleball Courts,2909 16th St S,Arlington,VA,22204,38.85851,-77.08951,Park
Lubber Run Community Center,300 N George Mason Dr,Arlington,VA,22203,38.87451,-77.10851,Park
Hayes Park Pickleball Courts,1516 N Lincoln St,Arlington,VA,22201,38.88951,-77.09851,Park
Marcey Creek Park,2722 N Marcey Rd,Arlington,VA,22207,38.90451,-77.11451,Park
Chinquapin Park Pickleball Courts,3210 King St,Alexandria,VA,22302,38.82851,-77.08851,Park
Simpson Stadium Park Pickleball Courts,420 E Monroe Ave,Alexandria,VA,22301,38.82121,-77.05451,Park
Lewinsville Park Pickleball Complex,1659 Chain Bridge Rd,McLean,VA,22101,38.93451,-77.18851,Park
Wakefield Park Pickleball Complex,8100 Braddock Rd,Annandale,VA,22003,38.82851,-77.22851,Park
George Washington Park Courts,280 Bear Hill Ln,Alexandria,VA,22306,38.76851,-77.07851,Park
Nottoway Park Pickleball Courts,9601 Courthouse Rd,Vienna,VA,22181,38.88451,-77.27851,Park
Baron Cameron Park,11300 Baron Cameron Ave,Reston,VA,20190,38.97451,-77.34851,Park
Bready Park Pickleball Courts,814 Ferndale Ave,Herndon,VA,20170,38.96451,-77.39121,Park
South Run RECenter,7550 Reservation Dr,Springfield,VA,22153,38.74851,-77.26851,Park
Hal & Berni Hanson Regional Park,23845 Hanson Park Dr,Aldie,VA,20105,38.98851,-77.53451,Park
Philip A Bolen Memorial Park,42405 Claudia Dr,Leesburg,VA,20175,39.06851,-77.53851,Park
Ida Lee Park Recreation Center,60 Ida Lee Dr NW,Leesburg,VA,20176,39.12851,-77.56851,Park
Claude Moore Park,21544 Old Vestals Gap Rd,Sterling,VA,20164,39.02121,-77.40851,Park
George Hellwig Memorial Park,14420 Bristow Rd,Manassas,VA,20112,38.67451,-77.45851,Park
Veterans Memorial Park Woodbridge,14300 Veterans Dr,Woodbridge,VA,22191,38.64121,-77.24851,Park
Pouncey Tract Community Park,4747 Pouncey Tract Rd,Glen Allen,VA,23059,37.69851,-77.62121,Park
Rockwood Park Pickleball Complex,3401 Courthouse Rd,Chesterfield,VA,23832,37.45851,-77.58851,Park
Forest Hill Park Pickleball Courts,4021 Forest Hill Ave,Richmond,VA,23225,37.52121,-77.46851,Park
Dorey Park,2999 Darbytown Rd,Henrico,VA,23231,37.45451,-77.33451,Park
Pole Green Park,8996 Pole Green Park Ln,Mechanicsville,VA,23116,37.64121,-77.30851,Park
Bryan Park Pickleball Courts,4308 Hermitage Rd,Richmond,VA,23227,37.60121,-77.47851,Park
Battery Park Pickleball Courts,2803 Dupont Cir,Richmond,VA,23222,37.56851,-77.44121,Park
Harry G Daniel Park at Iron Bridge,6600 Whitepine Rd,Richmond,VA,23237,37.41121,-77.48121,Park
Darden Towe Park Pickleball Courts,1445 Darden Towe Park Rd,Charlottesville,VA,22911,38.04121,-78.44851,Park
Key Recreation Center,800 E Market St,Charlottesville,VA,22902,38.02851,-78.47121,Park
Claudius Crozet Park,1075 Claudius Crozet Park,Crozet,VA,22932,38.07121,-78.69451,Park
Woodstock Park Pickleball Complex,5709 Providence Rd,Virginia Beach,VA,23464,36.81851,-76.17851,Park
Bayville Farms Park,4132 First Court Rd,Virginia Beach,VA,23455,36.89851,-76.12851,Park
Kempsville Recreation Center,800 Monmouth Ln,Virginia Beach,VA,23464,36.82851,-76.16851,Park
Great Neck Recreation Center,2521 Shorehaven Dr,Virginia Beach,VA,23454,36.88451,-76.04121,Park
Northside Park Pickleball Courts,8400 Tidewater Dr,Norfolk,VA,23518,36.91451,-76.24851,Park
Western Branch Park,4437 Portsmouth Blvd,Chesapeake,VA,23321,36.82451,-76.40851,Park
Deep Creek Park Pickleball Courts,437 S George Washington Hwy,Chesapeake,VA,23323,36.73851,-76.34851,Park
Huntington Park Tennis and Pickleball Center,340 73rd St,Newport News,VA,23607,36.98451,-76.43851,Park
Quarterpath Recreation Center,202 Quarterpath Rd,Williamsburg,VA,23185,37.25121,-76.68121,Park
Kiwanis Municipal Park,123 Longhill Rd,Williamsburg,VA,23185,37.28851,-76.71451,Park
Wasena Park Pickleball Courts,1001 Winchester Ave SW,Roanoke,VA,24015,37.26451,-79.96121,Park
Garst Mill Park,4400 Garst Mill Rd,Roanoke,VA,24018,37.24851,-80.00851,Park
Stonegate Park,2501 Rosewood Ave SW,Roanoke,VA,24015,37.25851,-79.97451,Park
Christiansburg Recreation Center,1600 N Franklin St,Christiansburg,VA,24073,37.14851,-80.40851,Park
Morrison Park Pickleball Courts,Second St,Harrisonburg,VA,22802,38.45121,-78.86451,Park
Jim Barnett Park Pickleball Courts,1001 E Cork St,Winchester,VA,22601,39.17851,-78.15451,Park
Gypsy Hill Park,600 Churchville Ave,Staunton,VA,24401,38.15851,-79.08121,Park
Kiwanis Field Salem,731 4th St,Salem,VA,24153,37.28851,-80.04851,Park
