image,name,address,city,state,zip,lat,lng, type
The EDGE Sports & Fitness Pickleball,4 Eastwood Dr,South Burlington,VT,05403,44.4645,-73.1685,Business
Green Mountain Community Center Pickleball,"Waterbury, VT",Waterbury,VT,05676,44.3385,-72.7545,Business
Callahan Park Pickleball Courts,Locust St,Burlington,VT,05401,44.4615,-73.2085,Park
Schmanska Park Courts,Grove St,Burlington,VT,05401,44.4845,-73.1845,Park
Appletree Park Courts,Appletree Point Rd,Burlington,VT,05408,44.5145,-73.2545,Park
Baird Park Courts,Pine St,Burlington,VT,05401,44.4585,-73.2145,Park
Overlook Park Courts,Spear St,South Burlington,VT,05403,44.4315,-73.1915,Park
Jaycee Park Pickleball Complex,Patchen Rd,South Burlington,VT,05403,44.4685,-73.1815,Park
Farrell Park Courts,Swift St,South Burlington,VT,05403,44.4485,-73.1985,Park
Cascade Park Courts,Cascade St,Essex Junction,VT,05452,44.4985,-73.1085,Park
Maple Street Park Courts,75 Maple St,Essex Junction,VT,05452,44.4915,-73.1015,Park
Airport Park Pickleball Complex,500 Colchester Point Rd,Colchester,VT,05446,44.5445,-73.2515,Park
Bayside Park Courts,W Lakeshore Dr,Colchester,VT,05446,44.5385,-73.2285,Park
Williston Central School Courts,Central School Dr,Williston,VT,05495,44.4385,-73.0685,Park
Stowe Arena & Recreation Path Courts,350 Park St,Stowe,VT,05672,44.4685,-72.6915,Park
Mayo Farm Courts,Weeks Hill Rd,Stowe,VT,05672,44.4845,-72.7085,Park
Montpelier Recreation Field Courts,Elm St,Montpelier,VT,05602,44.2685,-72.5785,Park
Barre City Recreation Complex,Park Row,Barre,VT,05641,44.1985,-72.5015,Park
Meadow Street Park Courts,Meadow St,Rutland,VT,05701,43.6085,-72.9785,Park
Giorgetti Athletic Complex,2 Oak St Ext,Rutland,VT,05701,43.6185,-72.9915,Park
Middlebury Recreation Park Courts,Mary Hogan Dr,Middlebury,VT,05753,44.0115,-73.1715,Park
Hard'ack Recreation Area Courts,Congress St,St. Albans,VT,05478,44.8215,-73.0785,Park
Bennington Recreation Center Courts,650 Orchard Rd,Bennington,VT,05201,42.8845,-73.2185,Park
Brattleboro Living Memorial Park,Guilford St,Brattleboro,VT,05301,42.8485,-72.5845,Park
Vail Field Courts,South St,Woodstock,VT,05091,43.6215,-72.5185,Park
