image,name,address,city,state,zip,lat,lng, type
Kanawha City Community Center Courts,3511 Venable Ave SE,Charleston,WV,25304,38.3185,-81.5985,Park
Cato Park Pickleball Courts,Baker Ln,Charleston,WV,25302,38.3685,-81.6545,Park
North Charleston Community Center,2009 7th Ave,Charleston,WV,25387,38.3745,-81.6785,Park
Danner Park Courts,MacCorkle Ave,Saint Albans,WV,25177,38.3845,-81.8285,Park
Valley Park Pickleball Complex,1 Valley Park Dr,Hurricane,WV,25526,38.4985,-82.0215,Park
Ritter Park Pickleball Complex,1310 Ritter Park Way,Huntington,WV,25701,38.4085,-82.4415,Park
St. Cloud Commons Courts,1701 Jackson Ave,Huntington,WV,25704,38.4145,-82.4785,Park
Altizer Park Courts,Altizer Ave,Huntington,WV,25705,38.4185,-82.3815,Park
Barboursville Community Park Courts,Charleston Rd,Barboursville,WV,25504,38.4115,-82.2985,Park
Marilla Park Pickleball Courts,E Brockway Ave,Morgantown,WV,26501,39.6245,-79.9385,Park
Krepps Park Courts,Krepps Park Dr,Morgantown,WV,26505,39.6545,-79.9615,Park
White Park Courts,Mississippi St,Morgantown,WV,26501,39.6115,-79.9685,Park
Mylan Park Sports Complex,500 Mylan Park Ln,Morgantown,WV,26501,39.6415,-80.0385,Park
City Park Parkersburg Courts,1905 Park Ave,Parkersburg,WV,26101,39.2685,-81.5445,Park
Southwood Park Courts,Belmont Rd,Parkersburg,WV,26101,39.2345,-81.5615,Park
Oglebay Resort Tennis & Pickleball,465 Lodge Dr,Wheeling,WV,26003,40.1085,-80.6615,Business
Wheeling Park Pickleball Complex,1801 National Rd,Wheeling,WV,26003,40.0645,-80.6785,Park
Patterson Field Courts,Warwood Ave,Wheeling,WV,26003,40.1185,-80.7015,Park
War Memorial Park Courts,N Tennessee Ave,Martinsburg,WV,25401,39.4615,-77.9715,Park
DuPont Park Courts,DuPont Rd,Martinsburg,WV,25401,39.4745,-77.9585,Park
Veterans Memorial Park Courts,"Clarksburg, WV",Clarksburg,WV,26301,39.2785,-80.3445,Park
Bridgeport City Park Courts,"Bridgeport, WV",Bridgeport,WV,26330,39.2885,-80.2585,Park
Weirton Starvaggi Memorial Park,"Weirton, WV",Weirton,WV,26062,40.4185,-80.5785,Park
Valley High School Courts,"Pine Grove, WV",Pine Grove,WV,26419,39.5615,-80.6845,Park
Beckley New River Park Courts,"Beckley, WV",Beckley,WV,25801,37.7785,-81.1885,Park
